UF,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
3S6,197427,207027,216434.5938,225635.1719,234632.375,278629.2813,314747.0625,337693.5,305149.5313,261338.8438,218403.5938,184668.2031,164119.7813,194806.9531,232230.5938,269250.6875,300899.0625,320939.1875,328768.0313,326432.6563,317424.1875,305319.125,293355,283780.5,277394.3125,272980.7188,270085.75,268140.2813,266598.4375,265030.375,263165.3438,260890.3438,258276.2344,255472.2656,252646.4688,249941.2813,247447.9063,245199.25,243176.9375,241327.3906,239579.8594,237863.2188,236131.3906,234355.9219,232524.7344,230637.9219,228702.5938,226728.1563,224722.5156,222690.0781,220631.0313,218541.75,216416.1563,214561.8281,213507.2813,213203.9688,213467.1719,214053.7813,214728.4375,215308.25
3S65,197427,206995.625,216383.8906,225590.75,234616.4219,278846.0625,315266.8438,338513.375,305844.5938,261807.5156,218620.0625,184664.8281,163963.2031,194634.1406,231993.5313,268809.2188,300162.3125,319798.8125,327137.4375,324255.5625,313534.375,295803,274796.4063,253909.375,235611.9375,221223.9063,210987.4375,204333,200994.9219,201533.625,204630.125,208852.0313,212975.9063,216167.8125,218032.9219,218562.4844,218019.4844,216804.2656,215333.0625,213949.7344,212878.5313,212214.9844,211945.7188,211983.3906,212206.2344,212492.6094,212745.1875,212903,212942.6563,212871.6563,212717.5313,212516.2813,212302.5625,212103.1094,211933.7188,211799.3125,211696.1875,211615.2969,211545.625,211476.9844
3S7,197427,206939.625,216293.3281,225485.9063,234515.9375,278850.1875,322369.3438,365078.25,365078.25,365078.25,365078.25,365078.25,365078.25,403256.5,440778.9688,477681.7813,514002.3125,549778.9375,585050.75,618205.25,647301.25,670678.125,688569.4375,701210.9375,708837.5625,715088.375,721148,727025.6875,732730.3125,738270.3125,743653.8125,748888.375,753983.125,758946.6875,763787.0625,768511.6875,773127.4375,777640.75,782057.4375,786382.875,790622,794779.3125,798859.25,802866,806803.25,810674.375,814482.5,818230.3125,821920.25,825554.5,829135,832663.5,836141.5,839570.3125,842951,846284.625,849571.9375,852813.5625,856010.125,859162
3S75,197427,206891.9688,216213.0781,225387.5313,234413.0469,278787.2188,322402,365254.1875,365254.1875,365254.1875,365254.1875,365254.1875,365254.1875,403645.7188,441352.6563,478399.25,514811.2188,550615.625,585840.6875,617741.125,644682,664936.6875,678675.5625,686081.25,692265.8125,698201.0625,703895.5625,709358,714597,719621.25,724439.1875,729059.125,733491.125,737744.8125,741829.4375,745753.75,749526.1875,753154.75,756646.9375,760009.8125,763250.125,766374.125,769388.0625,772297.75,775108.75,777826.0625,780454.4375,782998.25,785461.5625,787848.125,790161.375,792404.5,794580.4375,796691.8125,798741,800730.25,802661.625,804536.875,806357.625,808125.375
3S8,197427,206853.4219,216147.1875,225305.1719,234324.625,278717.1875,322394.9375,365349.8125,365349.8125,365349.8125,365349.8125,365349.8125,365349.8125,403941.2188,441836.0313,479049.625,515598.75,551501.4375,586776.9375,618618.0625,644877.5,663757.625,675363.3125,681681.6875,687705.9375,693442.4375,698898.1875,704080.5,708997.0625,713655.75,718064.625,722231.75,726167.1875,729880.8125,733382.1875,736680.6875,739785.4375,742705.3125,745448.75,748024,750438.9375,752701.0625,754818,756796.875,758644.5625,760367.5,761971.875,763463.4375,764847.6875,766129.75,767314.5,768406.5,769410,770328.9375,771167.125,771928,772614.75,773230.4375,773777.875,774259.625
3S85,197427,206821.8906,216092.6094,225235.875,234248.625,278645.7188,322363.4688,365390.625,365390.625,365390.625,365390.625,365390.625,365390.625,404152.375,442213.875,479583.875,516272.3125,552290.1875,587649.5625,619923.5,646180.0625,664556.5,675097.9375,681345.8125,687271.4375,692879.25,698174.4375,703162.6875,707850.3125,712244.0625,716351,720178.5625,723736.1875,727033.375,730079.5,732883.875,735455.8125,737804.375,739938.5625,741867.0625,743598.4375,745141,746503.125,747692.9375,748718.25,749586.5,750305,750880.625,751319.9375,751629.3125,751814.8125,751882.125,751882.125,751882.125,751882.125,751882.125,751882.125,751882.125,751882.125,751882.125
3S9,197427,206795.125,216043.7813,225169.4688,234168.8906,278519,322207.375,365220.4375,365220.4375,365220.4375,365220.4375,365220.4375,365220.4375,403990.7813,442050.25,479402.8125,516053.3125,552007.5625,587272.3125,618296.625,642903.0625,659188.875,667153.625,673271.125,679042.4375,684470.4375,689558.75,694311.75,698734.5625,702832.875,706612.9375,710081.4375,713247.1875,716119.125,718706.3125,721017.9375,723063.1875,724851.1875,726391.0625,727691.8125,728762.375,729611.5625,730248.3125,730681.3125,730919.0625,730969.8125,730969.8125,730969.8125,730969.8125,730969.8125,730969.8125,730969.8125,730969.8125,730969.8125,730969.8125,730969.8125,730969.8125,730969.8125,730969.8125,730969.8125
