UF,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
425S3High,7500000,7531526.5,7534690.5,7535343.5,7551683.5,7566194,7560370,7562115.5,7563871.5,7564111,7573609.5,7567659,7561233.5,7560573.5,7554931,7550317,7542621,7538463,7537458.5,7536272,7534250,7526327,7538476,7535470.5,7527225,7533033,7524654,7519299.5,7514938,7510529,7504970,7497767,7490481.5,7481607,7475760.5,7472588.5,7466446.5,7466301,7470715.5,7464012.5,7464094,7459636,7459686,7458187.5,7459799.5,7458715.5,7458934.5,7459225,7454594,7449823,7444400.5,7443000,7437738.5,7437233.5,7435342,7439063.5,7437283.5,7435249,7429037,7424057.5,7424436
425S3Med,7500000,7531526.5,7534690.5,7535343.5,7551683.5,7566194,7560370,7562115.5,7563871.5,7564111,7573609.5,7567659,7561233.5,7560573.5,7554931,7550317,7542589,7538338.5,7537222,7535890,7533703,7525567.5,7537482,7534163,7525548,7530939.5,7522051.5,7516137,7511170,7506138.5,7499967,7492160,7484320.5,7474940,7468663.5,7465113.5,7458609,7458165,7462340.5,7455382.5,7455240.5,7450529,7450362,7448626.5,7450068,7448720.5,7448742.5,7448793.5,7443864.5,7438860.5,7433166.5,7431539,7425941,7419087.5,7417051.5,7420686.5,7418689,7416433,7409960.5,7404731.5,7404931.5
425S3Low,7500000,7531526.5,7534690.5,7535343.5,7551683.5,7566194,7560370,7562115.5,7563871.5,7564111,7573609.5,7567659,7561233.5,7560573.5,7554931,7550317,7542525,7538112.5,7536804.5,7535229.5,7532765,7524276,7535791,7531948,7522708,7527380.5,7517622.5,7510741.5,7504726.5,7498615.5,7491383,7482554,7473793.5,7463601,7453293,7449245.5,7442295,7441536.5,7445508.5,7438307.5,7433998.5,7429147.5,7428929,7427116,7424992,7423616,7422464.5,7422497.5,7415928,7410913,7405148.5,7403556.5,7396402.5,7372006,7370274.5,7374451,7366314,7354035,7347798.5,7332600.5,7333628
