UF,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
4S6,17493400,17395492,17380596,17365008,17339590,17249602,17099040,16891208,16744783,16683197,16531276,16371974,16227169,16083131,15982142,15860940,15699695,15620834,15550894,15505167,15426972,15371136,15254999,15165772,15090297,15056912,15002854,14969163,14888839,14841579,14816156,14799056,14773097,14704569,14661996,14610577,14595706,14570745,14549751,14479256,14437273,14416106,14354683,14308395,14303433,14259436,14190490,14130699,14091152,14082585,14034551,14015826,14001043,13985553,13973948,13938462,13910314,13892468,13886458,13843193
4S65,17493400,17395548,17380682,17365088,17339622,17249048,17097354,16889146,16742691,16681125,16527933,16368620,16223824,16079838,15978802,15857992,15697867,15620630,15553328,15508678,15435161,15389238,15287809,15217716,15164798,15150035,15120756,15108574,15055878,15038160,15035845,15037023,15028373,14983679,14968143,14944092,14942713,14930479,14923372,14874101,14855739,14844228,14799206,14773192,14775315,14747226,14697119,14656815,14637314,14631960,14594564,14583575,14582917,14577187,14572930,14550826,14537598,14535659,14529518,14495597
4S7,17493400,17395632,17380820,17365258,17339788,17249046,17096834,16888364,16741875,16680285,16525971,16366624,16221802,16077644,15976282,15854826,15694270,15617006,15550256,15507691,15439853,15401556,15309746,15251307,15211853,15205421,15184519,15174955,15126855,15115900,15114424,15116434,15108718,15070621,15058723,15042882,15042494,15031294,15025210,14984486,14977240,14966855,14929526,14914562,14917619,14898221,14860034,14832679,14826949,14822460,14793065,14783021,14784946,14779990,14776462,14764950,14761985,14763169,14757765,14734080
4S75,17493400,17395702,17380942,17365418,17339960,17249224,17096806,16888172,16741655,16680033,16524912,16365533,16220681,16076331,15974809,15852646,15691361,15613553,15546638,15505361,15440122,15405733,15319265,15267687,15231625,15225617,15207120,15198097,15153175,15143094,15142284,15145008,15138072,15106250,15095238,15082368,15082873,15072673,15067617,15037692,15031562,15022234,14995078,14992322,14996371,14988636,14966107,14954556,14951518,14947887,14930276,14921280,14923929,14919875,14917233,14914320,14912254,14914203,14909771,14901556
4S8,17493400,17395760,17381042,17365552,17340110,17249424,17096906,16888152,16741612,16679960,16524203,16364795,16219913,16075372,15973671,15850756,15688610,15610073,15542647,15501436,15436969,15404214,15320399,15270728,15235912,15230190,15212829,15204189,15161460,15151860,15151562,15154844,15148524,15122439,15112173,15100058,15101338,15091975,15087789,15066602,15061420,15053039,15035043,15045082,15050088,15043307,15031642,15026920,15024843,15022170,15015863,15007987,15011524,15008471,15006826,15004952,15003912,15006860,15003562,15001437
4S85,17493400,17395806,17381124,17365664,17340238,17249622,17097074,16888236,16741678,16679999,16523754,16364321,16219412,16074702,15972836,15849242,15686285,15607390,15539504,15497851,15433304,15401049,15318471,15269258,15235142,15229612,15212478,15204109,15162945,15153705,15153798,15157512,15151689,15129966,15120292,15108781,15110694,15102016,15098551,15084463,15080082,15072505,15062169,15073542,15079378,15073501,15068036,15064283,15063161,15061472,15060966,15054190,15058692,15056556,15055735,15054630,15054261,15057796,15055082,15053474
4S9,17493400,17395846,17381198,17365772,17340372,17249962,17097638,16888810,16742245,16680542,16524251,16364811,16219895,16075171,15973305,15849740,15686885,15608089,15540503,15500130,15437615,15408045,15328843,15280782,15247997,15242695,15225824,15217746,15178429,15169553,15170019,15174138,15168793,15151613,15142499,15131556,15134045,15126001,15123194,15113004,15109349,15102527,15099651,15111764,15118366,15113331,15108615,15105461,15104801,15103444,15103172,15096553,15101134,15099113,15098406,15097454,15097212,15100874,15098356,15096948
