UF,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
2S6,8611970,8799304,8633440,7890623.5,9704404,9720074,10727942,10491175,11195932,10443109,9675559,9720023,9039551,8616775,8669873,8079096.5,7799888.5,7189959.5,7750778.5,6931703,7486612,7265327,6663918,7151220.5,6995043.5,6715201,7343074,7082576.5,7124642,7039924.5,6991944.5,7607196.5,7205071,7218059.5,6928682.5,7179589,7365544,7594106.5,6738205.5,6841266,6847288.5,6745372.5,6456893,6980387.5,7066662.5,6674493.5,6711276,6031442,6371663.5,6627763,6924568.5,6445310,6221951,6838898,6098741.5,6289514.5,6623094.5,6697646.5,6194528.5,6374479.5
2S65,8611970,8792198,8635766,7900094,9724298,9711710,10726884,10487941,11231741,10428118,9673989,9717090,9043356,8609697,8649852,8046944.5,7756914,7139196,7685301,6858299,7395694,7166058,6565643.5,7038522.5,6884888,6594890,7209743,6935588.5,6973613,6892185.5,6833944,7426095.5,7013459,7025952.5,6744539,7004984.5,7169136,7375550,6528435.5,6629994.5,6649748.5,6526531,6244699,6779938,6842805,6458714.5,6496302,5845112,6191865.5,6414156,6706146.5,6231424.5,6020610,6608707.5,5884655,6075148.5,6410319.5,6499096.5,5993810.5,6179774.5
2S7,8611969,8779492,8630587,7901588,9733291,9708462,10726544,10486750,11263167,10415497,9672990,9713797,9063094,8623371,8655554,8043656.5,7744739,7119545.5,7655321,6822316,7348534.5,7111430,6508182,6968583,6812390.5,6511653.5,7111475,6822081,6850702.5,6760991.5,6694618.5,7264214,6846935.5,6857809,6569821.5,6799515,6931008,7123182.5,6325016,6434643,6437444.5,6316813.5,6042295,6536453.5,6603201.5,6252202,6290817.5,5665271.5,5983440,6202956.5,6480923.5,5998293,5781783.5,6341081.5,5645047.5,5849461.5,6168469,6212715,5741120,5907600
2S75,8611969,8767502,8623998,7900136.5,9736762,9707594,10726514,10486492,11285709,10406636,9672412,9711615,9082337,8639278,8666719,8048789,7743548,7112621.5,7641466.5,6803999,7322320.5,7078951.5,6472126.5,6922797.5,6761742.5,6451328,7035559,6735502,6757894.5,6658869,6586447,7066606.5,6679795,6685890,6391907.5,6560317,6673010.5,6841827,6057575,6172141,6150495,6050819.5,5805902,6239275,6279404.5,5943459.5,6001303.5,5402623,5670996,5869600.5,6125318.5,5657436.5,5443238.5,5959344,5296739,5484514.5,5776967,5820243,5368486.5,5545326.5
2S8,8611969,8757446,8618010,7898160.5,9738384,9707438,10726567,10486499,11303417,10399753,9672011,9709970,9088712,8655642,8681005,8058884,7748849.5,7113285,7637398,6796383,7309152.5,7060717,6450309,6893083.5,6727414,6409940,6982070.5,6674205.5,6690845.5,6583859.5,6458237,6917752.5,6521303,6518996.5,6215271,6369962,6465354,6612944,5837832.5,5942717.5,5910019.5,5791982.5,5551546,5979768.5,5996030.5,5655548,5706190,5126143,5376330,5544267.5,5794477,5340674.5,5128409,5603702.5,4971426,5137769,5405282,5447103.5,5013854,5184025
2S85,8611969,8748976,8612653,7895968,9738815,9707712,10726662,10486663,11316974,10394528,9671737,9708753,9087868,8670226,8694930,8069871,7756220,7116998.5,7637830,6794043.5,7302859,7050422,6436821,6873548.5,6703989.5,6381214,6944298.5,6630202,6641718.5,6526333,6361742,6804126.5,6398764.5,6388389,6075475,6217675,6297540.5,6426212.5,5656957.5,5752110,5708610.5,5573582.5,5335250,5746347,5743619.5,5400114,5436566.5,4873627.5,5108246.5,5248979,5483938.5,5045600,4836176.5,5273892,4669517,4815420,5045229.5,5034528.5,4635357,4746463.5
2S9,8611969,8740854,8606254,7891578,9734847,9709864,10727006,10487572,11318266,10394316,9671921,9708917,9088016,8670127,8693427,8066653.5,7751136,7110173,7628017,6782373,7287426,7032176,6417119.5,6847980.5,6675687,6347491.5,6901325,6581676,6589322,6431908.5,6261258.5,6687900,6275120.5,6258405.5,5937668.5,6068837.5,6134588.5,6245819,5482901,5561806,5510596,5361112.5,5126410.5,5521934,5501660.5,5155722,5175898,4610140,4758195.5,4896511,5055243.5,4615600,4395409,4768336.5,4201947.5,4317068.5,4507594.5,4492587,4118830.25,4214223
