UF,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
425S3High,3701.10156,3271.78735,2672.05127,3075.62891,3156.06299,3002.16113,3464.63184,2843.46045,3307.9646,2487.49951,2692.66113,2507.29443,2894.81396,2495.45605,2413.87646,2253.74341,2840.78149,2835.02441,2778.78174,2460.36182,2530.58008,2390.79614,2465.19702,2288.18604,3045.72827,2191.25732,2715.47681,2375.41211,2514.49902,2442.31372,2441.73608,2507.10938,2186.21924,2375.3457,2628.80469,2989.69116,3067.82275,3012.1377,2249.19727,2849.39551,2663.11963,2550.521,2254.37305,2719.47314,2320.52344,2388.6272,2409.42627,2411.86865,2827.62671,2643.76343,2463.1626,2183.47607,2958.19727,2665.02588,2436.47559,2391.81616,2724.91113,2378.51245,2649.1167,2620.08325,3091.12939
425S3Med,3701.10156,3271.78735,2672.05127,3075.62891,3156.06299,3002.16113,3464.63184,2843.46045,3307.9646,2487.49951,2692.66113,2507.29443,2894.81396,2495.45605,2413.87646,2223.87988,2808.12012,2793.31738,2739.74658,2412.20752,2487.18555,2331.54492,2406.21484,2228.73901,2972.52881,2114.2959,2631.17993,2287.54443,2426.19458,2338.01904,2334.54492,2391.15747,2070.22168,2248.35693,2482.53638,2844.86328,2927.63257,2866.92651,2091.81885,2677.04785,2493.4458,2365.54956,2094.94287,2509.44556,2140.74512,2179.64453,2178.9375,2219.7251,2615.48779,2438.53662,2203.16357,1924.69177,2739.20068,2419.06738,2158.53906,2110.90503,2467.49707,2106.97778,2368.25781,2314.10303,2769.09375
425S3Low,3701.10156,3271.78735,2672.05127,3075.62891,3156.06299,3002.16113,3464.63184,2843.46045,3307.9646,2487.49951,2692.66113,2507.29443,2894.81396,2495.45605,2413.87646,2177.60742,2759.73413,2734.07324,2686.44189,2348.83594,2432.02539,2258.64063,2335.82275,2159.78979,2889.86694,2029.52869,2540.46826,2195.01929,2335.06982,2232.40332,2227.89063,2277.6709,1958.42859,2127.7251,2344.69629,2710.12915,2798.76221,2734.91992,1950.22278,2523.43457,2342.69116,2202.51904,1955.45471,2326.89746,1984.72778,1999.25879,1980.65552,2055.11646,2434.07324,2263.56689,1982.04639,1705.06555,2553.34814,2207.65039,1919.92981,1869.99561,2245.50391,1870.62585,2123.78906,2045.26013,2486.15698
