Time (Year),1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
3S6,2407.32471,2031.13208,2332.01123,1788.12695,1398.78003,1000,1000,1657.53833,1088.66406,1000,1000,1305.80835,1619.56958,1564.5708,1225.16553,1860.88501,1832.09106,2187.06738,1852.67334,1987.43677,1612.05713,1774.22095,1850.38611,2245.21387,1993.5824,2349.83618,1720.14502,2005.61304,2109.93213,2461.63574,2609.8103,1744.06116,2023.62451,1963.1427,2648.81006,2269.65234,2084.96021,1749.8313,1953.05469,2285.75342,1613.37915,1756.09033,2803.97925,1872.07971,1699.04895,1765.89429,1913.47607,2494.82959,1745.84717,2107.23999,2008.1283,2085.25073,2079.43628,1883.07556,1956.28137,2017.29785,2217.80762,1785.80505,2274.33105,2167.74023
3S65,2407.32471,2032.77209,2331.48633,1785.9552,1393.39551,1000,1000,1658.00635,1080.10571,1000,1000,1302.19873,1616.96729,1565.2771,1230.17676,1870.60376,1846.07275,2204.93115,1868.56531,2011.06201,1638.51416,1809.27576,1888.95911,2291.96631,2025.35864,2386.89795,1760.39917,2063.83984,2153.73438,2507.36816,2655.94482,1805.97852,2098.8855,2013.62256,2716.48926,2334.98242,2157.16162,1824.5072,2040.5647,2360.58716,1674.71179,1837.44153,2898.37061,1939.52637,1787.86499,1856.38159,2006.43396,2582.87134,1803.15686,2190.48828,2071.06055,2147.32275,2142.00781,1952.30261,2042.00769,2094.52832,2282.17139,1859.38721,2367.37988,2238.36646
3S7,2407.32471,2035.70374,2332.69336,1785.62878,1391.22314,1000,1000,1658.16821,1069.03833,1000,1000,1287.69971,1598.4458,1549.21851,1219.06372,1864.00671,1844.59766,2207.33594,1873.30652,2018.34082,1645.78467,1820.94666,1903.12476,2310.71631,2040.00159,2404.14282,1782.37476,2097.28271,2181.17041,2537.76563,2702.02563,1864.16003,2181.0791,2074.15527,2776.56885,2404.01685,2230.48682,1903.33728,2143.77734,2435.02563,1753.27979,1937.9436,3008.01709,2021.01819,1896.73584,1975.60583,2126.30347,2652.25049,1888.21301,2308.87012,2164.99902,2238.15869,2231.18481,2051.85449,2148.89478,2185.07788,2380.17627,1959.27405,2500.91357,2331.54736
3S75,2407.32471,2038.46826,2334.22314,1785.97925,1390.57544,1000,1000,1658.19507,1063.66504,1000,1000,1285.34741,1592.76782,1543.27515,1214.24927,1860.57019,1843.26196,2208.10156,1876.21655,2023.57007,1652.04333,1831.56641,1916.44019,2328.47656,2053.43042,2419.38574,1801.15601,2125.33154,2204.93408,2573.07935,2742.7522,1910.55981,2247.78271,2125.11743,2829.65332,2460.42432,2291.16821,1969.37598,2231.01001,2500.60913,1821.31458,2034.6991,3107.51733,2094.44678,1975.80627,2083.00732,2216.85156,2727.68823,1968.04712,2427.11377,2254.33447,2322.99756,2314.81323,2145.59521,2234.02588,2275.21436,2476.25439,2055.32568,2607.69873,2423.08643
3S8,2407.32471,2040.78711,2335.61279,1786.448,1390.39453,1000,1000,1658.18481,1059.44922,1000,1000,1285.64795,1588.45239,1537.61987,1208.85962,1855.82458,1839.97729,2206.33447,1876.81836,2025.29456,1654.92017,1836.94421,1923.75195,2338.83057,2061.8584,2429.30664,1818.70935,2148.95313,2230.15527,2601.02075,2772.65186,1945.24561,2298.23828,2164.41455,2871.1355,2505.05322,2339.73804,2022.81543,2293.63281,2555.44238,1878.41931,2116.24414,3168.10669,2159.28491,2045.18445,2161.146,2289.78223,2795.51807,2039.62073,2517.76001,2335.93018,2400.25928,2390.98877,2231.15698,2311.96729,2358.02979,2564.85742,2144.23584,2692.04517,2512.35742
3S85,2407.32471,2042.74023,2336.85498,1786.96436,1390.50244,1000,1000,1658.15308,1056.22559,1000,1000,1285.87451,1584.75586,1532.64917,1203.90601,1851.16736,1836.33789,2203.77832,1876.41663,2025.39734,1656.08911,1839.5697,1927.7832,2345.02075,2067.34473,2435.99146,1832.47034,2170.24805,2248.36914,2621.59912,2795.04736,1971.61658,2336.97998,2195.08008,2903.87451,2540.65088,2378.86743,2066.27661,2335.66626,2601.59961,1926.54321,2185.14014,3219.56055,2214.67236,2104.8064,2221.28418,2353.85156,2855.22168,2116.03467,2591.95654,2427.20508,2491.67041,2484.15503,2337.2334,2409.29956,2460.7373,2678.25879,2270.36328,2807.6936,2640.31982
3S9,2407.32471,2044.61206,2338.33594,1787.98584,1391.8125,1000,1000,1658.01538,1055.93799,1000,1000,1285.87573,1584.56543,1532.62085,1204.2854,1852.12427,1837.95862,2206.11499,1878.83997,2029.26721,1660.14465,1846.15198,1935.73376,2355.23267,2074.82227,2444.48315,1849.17224,2195.2002,2268.63623,2643.84058,2818.69434,1998.93933,2376.66699,2225.92651,2936.46826,2575.79004,2417.22437,2108.63428,2376.43799,2646.19629,1973.17749,2251.47046,3268.83667,2298.87183,2191.07642,2303.87842,2441.9353,2943.21045,2212.65942,2697.96802,2539.72168,2598.14453,2589.2998,2455.68506,2517.60889,2576.30566,2802.45459,2395.5542,2926.99463,2763.27637
