UF,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
1S6,197427,207027,216434.5938,225635.1719,234632.375,278629.2813,314747.0625,337693.5,305149.5313,261338.8438,218403.5938,184668.2031,164119.7813,194806.9531,232230.5938,269250.6875,300899.0625,320939.1875,328768.0313,326432.6563,317424.1875,305319.125,293355,283780.5,277394.3125,272980.7188,270085.75,268140.2813,266598.4375,265030.375,263165.3438,260890.3438,258276.2344,255472.2656,252646.4688,249941.2813,247447.9063,245199.25,243176.9375,241327.3906,239579.8594,237863.2188,236131.3906,234355.9219,232524.7344,230637.9219,228702.5938,226728.1563,224722.5156,222690.0781,220631.0313,218541.75,216416.1563,214561.8281,213507.2813,213203.9688,213467.1719,214053.7813,214728.4375,215308.25
1S65,197427,206995.625,216383.8906,225590.75,234616.4219,278846.0625,315266.8438,338513.375,305844.5938,261807.5156,218620.0625,184664.8281,163963.2031,194634.1406,231993.5313,268809.2188,300162.3125,319798.8125,327137.4375,324255.5625,313534.375,295803,274796.4063,253909.375,235611.9375,221223.9063,210987.4375,204333,200994.9219,201533.625,204630.125,208852.0313,212975.9063,216167.8125,218032.9219,218562.4844,218019.4844,216804.2656,215333.0625,213949.7344,212878.5313,212214.9844,211945.7188,211983.3906,212206.2344,212492.6094,212745.1875,212903,212942.6563,212871.6563,212717.5313,212516.2813,212302.5625,212103.1094,211933.7188,211799.3125,211696.1875,211615.2969,211545.625,211476.9844
1S7,197427,206939.625,216293.3281,225485.9063,234515.9375,278850.1875,315466.1563,338953.4375,306249.375,262106.6563,218785.4219,184703.4688,163905.4063,194743.9219,232266.375,269169.1875,300449.3125,319871.9063,326876.8125,321923.5,306590.2188,283367.7813,256641.3906,230300.4531,207107.5781,191888.5313,185791.7188,187213.4688,192918.0781,198458.1094,203841.6094,209076.1563,214170.9219,217368.25,218491.3281,217883.6563,216135.0156,213889.375,211699.5781,209943.9063,208802.5469,208280.8125,208260.75,208561.3281,208993.3438,209399.6094,209676.5938,209778.9063,209710.7656,209510.2031,209231.1719,208927.8594,208643.7031,208405.8438,208224.5,208095.8906,208007.1875,207941.6563,207883.1875,207819.2031
1S75,197427,206891.9688,216213.0781,225387.5313,234413.0469,278787.2188,315519.375,339172.8125,306469.5625,262283.375,218896.375,184746.1875,163891.8281,194906.9219,232613.8438,269660.4375,300942.3125,320249.5938,327037.625,320669.5938,303068.7188,276918.625,246841.375,216955.2813,195125.6563,183662.7656,181633.0781,186500.8594,191739.8906,196764.125,201582.0469,206201.9844,210633.9688,214131.5781,215711.3438,215556.9531,214147.7813,212074.125,209885.6406,207993.3906,206629,205851.9531,205589.5625,205690.7344,205979.5156,206297.5938,206530.4531,206617,206545.5938,206341.4063,206050.1875,205722.7969,205403.4063,205122.5469,204894.9688,204721.3438,204592.25,204493,204408.0625,204324.3594
1S8,197427,206853.4219,216147.1875,225305.1719,234324.625,278717.1875,315530,339308.9688,306615.0313,262406.25,218978.8594,184783.9063,163890.6563,195078.6563,232973.4688,270187.0625,301513.6875,320767.7188,327416.1563,320790.2188,302332.9063,274696.5938,242577.5,212094.1719,191202.0313,181061.5313,180338.3594,185520.6875,190437.25,195095.9219,199504.7656,203671.9063,207607.3594,211320.9531,213357.9531,213660.0938,212595.0781,210698.0313,208514.0156,206485.9375,204896.4063,203859.125,203347.0469,203239.5938,203374.6875,203593.4219,203770.7344,203830.0938,203744.0938,203525.0313,203210.4063,202847.7031,202481.7656,202146.4844,201861.1719,201630.9844,201450,201305.625,201183.0156,201068.5938
1S85,197427,206821.8906,216092.6094,225235.875,234248.625,278645.7188,315513.75,339386.9063,306707.1563,262489.9063,219039.8438,184816.8281,163897.3594,195236,233297.5,270667.5,302050.0625,321281.4688,327837.625,321453.625,302813.7188,274451.2188,241060.4531,210451.9531,189737.2969,179934.5938,179577.0469,184565.3125,189252.9531,193646.7031,197753.6563,201581.2344,205138.8906,208436.0625,210871.3125,211683.0781,211084.4375,209511.125,207467.4688,205404.8438,203647.1719,202364.25,201584.2031,201230.0781,201166.5469,201244.4063,201334.3594,201346.8125,201237.7031,201003.5156,200669.6563,200276.5938,199912.4844,199675.1094,199573.9219,199573.9219,199573.9219,199573.9219,199573.9219,199573.9219
1S9,197427,206795.125,216043.7813,225169.4688,234168.8906,278519,315373.625,339266,306630.9375,262460.1875,219048.625,184850.8125,163942.1875,195288.0469,233347.5313,270700.0938,302027.125,321179.625,327638.0938,320023.3438,299782.6563,269640.25,234434.3438,205038.4844,186166.25,178264.7656,179455.0781,184208.1094,188630.9531,192729.2969,196509.3594,199977.8438,203143.5781,206015.5156,208602.7344,209738.0469,209474.5781,208160.6094,206254.5781,204200.2813,202342.4219,200887.3438,199903.4531,199348.6563,199111.8125,199055.5469,199055.5469,199055.5469,199055.5469,199055.5469,199055.5469,199055.5469,199055.5469,199055.5469,199055.5469,199055.5469,199055.5469,199055.5469,199055.5469,199055.5469
