UF,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
425S1High,7500000,7531526.5,7537439.5,7540947,7560173,7577317.5,7574328.5,7578767,7582997.5,7585903.5,7597554.5,7594501.5,7590891.5,7592806,7589808.5,7587863,7582989,7581450.5,7582662.5,7583656,7583834,7578568.5,7591802,7591015,7585343,7592538,7586545.5,7583464,7581137,7578812,7575400,7570515.5,7565554,7559159.5,7555530,7554242.5,7550265.5,7551530.5,7556795,7552241,7553775.5,7551205.5,7552598,7552634.5,7555401,7555736.5,7557232.5,7558763.5,7556014,7553114.5,7549587.5,7549530,7546177,7546923,7546353.5,7550610,7550187.5,7549537,7545272,7542085.5,7543403
425S1Med,7500000,7531526.5,7537439.5,7540947,7560173,7577317.5,7574328.5,7578767,7582997.5,7585903.5,7597554.5,7594501.5,7590891.5,7592806,7589808.5,7587863,7582957,7581337,7582449,7583312.5,7583339.5,7577879,7590891.5,7589811.5,7583791,7590587,7584110.5,7580494.5,7577588.5,7574668.5,7570672,7565217,7559736,7552873.5,7548849.5,7547222,7542930,7543939,7549001.5,7544239,7545594,7542825,7544049.5,7543903.5,7546540,7546675.5,7548022.5,7549373.5,7546400.5,7543326.5,7539597,7539371.5,7535769.5,7536302,7535554.5,7539644,7538990,7538108,7533609.5,7530190.5,7531305.5
425S1Low,7500000,7531526.5,7537439.5,7540947,7560173,7577317.5,7574328.5,7578767,7582997.5,7585903.5,7597554.5,7594501.5,7590891.5,7592806,7589808.5,7587863,7582893,7581128.5,7582067,7582709,7582477,7576686,7589315.5,7587736,7581114,7587210,7579891,7575334.5,7571408.5,7567436.5,7562405.5,7555960.5,7549590,7541950,7535946.5,7533818.5,7529097,7529789,7534628.5,7529642.5,7529919,7526987.5,7528101.5,7527836,7530260,7530271,7531545.5,7532798,7529675,7526493,7522627,7522306.5,7518532,7506397,7505741.5,7510041,7509442,7507924.5,7503390.5,7499727.5,7500950.5
