UF,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Baserun60,8611970,8799692,8634204,7894287,9714571,9750527,10773263,10555315,11255612,10591034,9851189,9859930,9200567,8810222,8906793,8338552,8095689,7503655,8135500,7298568,7918815.5,7712826.5,7102108,7644273,7507918.5,7204401,7900529.5,7612185,7672988,7601844,7550903,8219458,7774995,7803298,7501127,7805026.5,7996227.5,8236450,7297678,7420013.5,7449360,7318976,7007680.5,7612366.5,7690433.5,7267930,7318892.5,6592555.5,6991308.5,7252628,7592062,7064265,6832241,7507724.5,6690850,6911924,7296680,7399847.5,6827355.5,7041377.5
Baserun65,8611970,8792587,8636528,7903756.5,9734458,9742135,10772181,10552080,11291498,10576321,9850085,9874381,9204805,8802449,8886037,8306035,8052764.5,7453242.5,8070634.5,7225646,7828298,7611140,7001119.5,7528634.5,7394441.5,7079550,7752767,7450501.5,7505591.5,7420389,7361127.5,7954902.5,7551621.5,7582439.5,7273342.5,7517861.5,7678605,7908081.5,7035236.5,7179232.5,7188710,7066275,6765998,7332179.5,7418275,7023268,7074774,6378173,6760747.5,7002796.5,7334218,6805171.5,6566873,7210595,6425756,6648972,7023014,7085500.5,6552900,6742797.5
Baserun70,8611969,8779880,8631350,7905248.5,9743444,9738856,10771796,10550837,11322913,10563705,9849217,9899576,9224710,8814319,8889764,8301364,8039842,7433393,8040891,7190099.5,7781846,7554675,6941648.5,7456671,7319837,6993513,7644422.5,7327442,7373036,7275281.5,7145354,7688493.5,7282980.5,7315596.5,7010280.5,7216709,7358345,7563192.5,6711094.5,6856900,6847562,6750643.5,6489927.5,6986234,7043755,6680278.5,6757171.5,6092146.5,6404593.5,6641664.5,6938124.5,6418405,6183494.5,6779272.5,6033259,6254855,6594974,6647920,6138877.5,6339020
Baserun75,8611969,8767892,8624762,7903795.5,9746907,9737961,10771722,10550519,11345416,10554764,9848632,9921542,9243995,8828578,8899119,8305188.5,8037875,7426170.5,8027110.5,7172097.5,7756242,7521712.5,6905087,7410475.5,7268754,6932324.5,7564187.5,7238133.5,7264522.5,7118505,6970439,7488799,7073710,7098590.5,6783695,6975335,7097855,7278985,6440928,6577596.5,6557408.5,6440947.5,6187939.5,6678295.5,6710352.5,6343808.5,6414160,5774108.5,6066355,6269663,6560417.5,6058117.5,5826648.5,6377562,5667126.5,5866118.5,6179761,6232213.5,5745559.5,5944213
Baserun80,8611969,8757835,8618773,7901817.5,9748522,9737781,10771738,10550474,11363084,10547781,9848186,9941074,9262204,8843455,8910957,8313269.5,8041801,7426082,8022717,7164491.5,7743406,7503630,6883543.5,7381215.5,7234923.5,6891244.5,7479520,7157361,7157686,6999553,6842647,7340084,6915104.5,6931358.5,6606540.5,6784138.5,6889031,7048616,6219677.5,6342029.5,6311877,6177800,5929845,6401760,6413417.5,6045194.5,6101283.5,5482489,5758025,5931831.5,6209206.5,5725193.5,5497917,6007832,5329937,5507524.5,5795842.5,5846759,5379767,5555689
Baserun85,8611969,8749364,8613416,7899623.5,9748948,9738036,10771801,10550591,11376601,10542463,9847854,9942573,9277783,8857855,8923570,8323002.5,8048246,7429254,8022885,7162142.5,7737354,7493755,6870618,7362423,7212299,6863222.5,7420779.5,7088851.5,7080284,6911805,6746843.5,7226951.5,6792813,6800819,6466638.5,6631486.5,6720579,6860981,6037841.5,6142157.5,6103366,5953854,5709285,6164281,6157207.5,5786224,5824864.5,5224497,5425689.5,5609013,5811880.5,5327277,5092214.5,5545881,4906021.5,5060176,5301876.5,5297231,4875935.5,4999516
Baserun9,8611969,8741243,8607016,7895232.5,9744976,9740174,10772116,10551450,11377834,10542094,9847867,9942533,9278560,8857636,8921892,8319616.5,8043012,7422307.5,8012956.5,7150370,7721801,7474421.5,6849719.5,7335541.5,7182594.5,6824368.5,7349630.5,7009454,6993946,6816745.5,6645486.5,7109560,6667937.5,6669406,6327352,6480864,6555556,6678220.5,5861535,5949074.5,5899640.5,5738663,5497911,5798950,5782581.5,5427472,5442109,4841908,5006608,5148762,5323034.5,4864439,4634889,5030527.5,4434716,4557274.5,4761429,4752423,4356790,4464523.5
