UF,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
425S1High,1583775.5,1613874.875,1652154.75,1786749.625,1755400.25,1527219.625,1578810,1975290.75,1850430.875,1942534,2024684.75,2137017.5,2008888.25,2113069,2260978.5,1925040.25,1923627.875,2251549,1937681.375,2203503.5,1834731.75,2318003,2145527,2010532.875,2304586.25,2263879.5,2316183.75,2259794,2129435.75,2362059.5,2283334.75,2326220.75,2195125.5,2269763.75,2474006.25,2322262.5,2133012.75,2101050.5,2169630.25,2263185.25,2126868.75,2214496.25,1826289.875,2304092.75,1891840.875,2110881.5,2237606.25,1794701.375,1907060.625,1777546.5,2171648.75,2087720.25,1707059,1847253,2022169.625,1983331,1763745,1807052.375,1815892.625,1923946.125,1972395
425S1Med,1583775.5,1613874.875,1652154.75,1786749.625,1755400.25,1527219.625,1578810,1975290.75,1850430.875,1942534,2024684.75,2137017.5,2008888.25,2113069,2260978.5,1978591.5,1982128,2326182.5,2007497,2289577.5,1912242.75,2423670,2250831.25,2116556.5,2434903.25,2400889,2465931,2415595.5,2285729.25,2546312.5,2472324,2530195.5,2398724,2492109.5,2729596.25,2574914.25,2377049.75,2353484.25,2442999.75,2561830.75,2420412.5,2533751.5,2100958.5,2665141.75,2200329.25,2468626.5,2631271.5,2122082.5,2267337.25,2124925.5,2610172,2522843.75,2073877.375,2256065.5,2482588.5,2447438.5,2187492,2252356.75,2274424,2421282.5,2493860.5
425S1Low,1583775.5,1613874.875,1652154.75,1786749.625,1755400.25,1527219.625,1578810,1975290.75,1850430.875,1942534,2024684.75,2137017.5,2008888.25,2113069,2260978.5,2061567.5,2068787.625,2432177.25,2102800.75,2402787.5,2010687.625,2553535.5,2376310.5,2239273.25,2581672,2551281.25,2626388.5,2578805,2446016.25,2731557,2658834,2728033.25,2593030.5,2701142.75,2966554.5,2806141.25,2597745.5,2579280,2685073,2823863.25,2675821,2809434.75,2336526.25,2972909.75,2461872.75,2770491.25,2962072.25,2396209,2568107.75,2414215.75,2974648,2883954,2377980.75,2594768.25,2863953.25,2831904,2538682.75,2621698.5,2655141,2834770.75,2928096.75
