UF,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
425S3High,1583775.5,1613874.875,1652154.75,1786749.625,1755400.25,1527219.625,1578810,1975290.75,1850430.875,1942534,2024684.75,2137017.5,2008888.25,2113069,2260978.5,1925040.25,1923627.875,2251549,1937681.375,2203503.5,1834731.75,2318003,2145527,2010532.875,2304586.25,2264115,2316909,2261213.25,2131671,2365789,2288395.25,2333113.5,2203510.5,2280630,2488520.75,2338654.25,2150852,2121603.75,2194181.75,2292528,2158198.5,2251285.25,1860282,2351858.5,1935292.375,2164338.5,2299814.5,1849258.5,1970218.625,1841465.25,2256174.5,2175423.25,1784250.375,1936942.625,2127345.25,2093593.75,1868341,1921145.125,1937735.375,2060901.5,2121110
425S3Med,1583775.5,1613874.875,1652154.75,1786749.625,1755400.25,1527219.625,1578810,1975290.75,1850430.875,1942534,2024684.75,2137017.5,2008888.25,2113069,2260978.5,1978591.5,1982128,2326182.5,2007497,2289577.5,1912242.75,2423670,2250831.25,2116556.5,2434903.25,2401138.75,2466703.25,2417113,2288129,2550332.75,2477803.25,2537692.25,2407886.5,2504040.5,2745610.25,2593089.25,2396930.25,2376506.5,2470644.75,2595045.25,2456066.25,2575844.25,2140062.5,2720392.25,2250866,2531143.25,2704424,2186591.25,2342427,2201335.75,2711766.25,2628825.5,2167655.75,2365604,2611711.25,2583503.5,2317217.75,2394565.25,2427033.5,2593640.75,2681893
425S3Low,1583775.5,1613874.875,1652154.75,1786749.625,1755400.25,1527219.625,1578810,1975290.75,1850430.875,1942534,2024684.75,2137017.5,2008888.25,2113069,2260978.5,2061567.5,2068787.625,2432177.25,2102800.75,2402787.5,2010687.625,2553535.5,2376310.5,2239273.25,2581672,2551547,2627210.75,2580424.75,2448584,2735869.75,2664726.75,2736116.5,2602935.25,2714074.5,2983958.5,2825948.5,2619471.5,2604511.5,2715457.25,2860475,2715237,2856107,2380014.75,3034540.25,2518416.5,2840652.25,3044421.75,2469051.25,2653158.25,2501028,3090428.5,3005105.75,2485510.5,2720751.75,3012911.25,2989343,2689235.25,2787226.75,2833295.75,3036563.5,3148869.75
