UF,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Baserun60,17493400,17396760,17383112,17377978,17369238,17299206,17178232,17019738,16949290,16999618,16978356,16940872,16904008,16864026,16869552,16865946,16825038,16886424,16967298,17074194,17152378,17241076,17254006,17275206,17296506,17335182,17359212,17381668,17355460,17365966,17381916,17399720,17411054,17381498,17385024,17383792,17396368,17402890,17410562,17376164,17373710,17379658,17338842,17320760,17340862,17338636,17311248,17294870,17304312,17329832,17318492,17338832,17364916,17385288,17401880,17396402,17398016,17406592,17411288,17383614
Baserun65,17493400,17396816,17383198,17378054,17369254,17298622,17176506,17017732,16947568,16998432,16976454,16939436,16903024,16862826,16868298,16865276,16825690,16889144,16972650,17080028,17161752,17257244,17281898,17317464,17352658,17395632,17419726,17437182,17408006,17406062,17407220,17410184,17408388,17378050,17375536,17376296,17388188,17395248,17404260,17382140,17387602,17392926,17358578,17348846,17364300,17365642,17344692,17334546,17348872,17365798,17353104,17364272,17381510,17394344,17405602,17407020,17413598,17420992,17424038,17405182
Baserun70,17493400,17396900,17383336,17378216,17369396,17298574,17175892,17016840,16946734,16997794,16974958,16938160,16902018,16860962,16865408,16861746,16822218,16886378,16971228,17081330,17169168,17270356,17301814,17344048,17384776,17424858,17439896,17444178,17405548,17395986,17394022,17396750,17395866,17376690,17377574,17381046,17394852,17402986,17412234,17401242,17405712,17408554,17382740,17384750,17396268,17400894,17390192,17391384,17398232,17405870,17396304,17399024,17407908,17413254,17418302,17421838,17424898,17429196,17429732,17423674
Baserun75,17493400,17396970,17383458,17378370,17369546,17298708,17175774,17016510,16946376,16997480,16973948,16937242,16901248,16859368,16862774,16858302,16818484,16882822,16968362,17080570,17171752,17276308,17312010,17358780,17398848,17433238,17441934,17440940,17404498,17395396,17394186,17397822,17397858,17385212,17385664,17387942,17400366,17407242,17415534,17413446,17417554,17419224,17401700,17410762,17419724,17420578,17417204,17417760,17420076,17422926,17420478,17419484,17424236,17425630,17427242,17428022,17428966,17431772,17431324,17430408
Baserun80,17493400,17397028,17383558,17378498,17369678,17298870,17175798,17016366,16946186,16997290,16973180,16936520,16900624,16857972,16860374,16855036,16814758,16878988,16964838,17077984,17170818,17277480,17316064,17364330,17404216,17436648,17443240,17441270,17407624,17398750,17397652,17401354,17401438,17393108,17392616,17393482,17404496,17410208,17417700,17419466,17423390,17424600,17414746,17423160,17430622,17429622,17427680,17426510,17427034,17428228,17428908,17426858,17430392,17430586,17431138,17431072,17431344,17433674,17432908,17431796
Baserun85,17493400,17397074,17383640,17378606,17369790,17299038,17175900,17016336,16946104,16997182,16972608,16935966,16900132,16857322,16859052,16852926,16812064,16875944,16961778,17075176,17168694,17276638,17317168,17366288,17406666,17438640,17444598,17442534,17410876,17402094,17400944,17404546,17404528,17399950,17398592,17398092,17407702,17412238,17418934,17420290,17424116,17425442,17422772,17431402,17438308,17436342,17433270,17430968,17430480,17430818,17430888,17428404,17431684,17431638,17431954,17431708,17431878,17434206,17433518,17432546
Baserun9,17493400,17397114,17383714,17378710,17369912,17299350,17176402,17016776,16946428,16997360,16972632,16935910,16900038,16857214,16858928,16852834,16812110,16876238,16962426,17077060,17172482,17282030,17324508,17372642,17411286,17440292,17443758,17441366,17412216,17403860,17403030,17406888,17407074,17406622,17404818,17403242,17411606,17414992,17420804,17421588,17425126,17426384,17430600,17439352,17445672,17442850,17438776,17435420,17433892,17433226,17432404,17429178,17431962,17431686,17432034,17432046,17432484,17435096,17434682,17433946
