UF,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
1S6,8611970,8799692,8634204,7894287,9714571,9750527,10773263,10555315,11255612,10591034,9851189,9859930,9200567,8810222,8906793,8338552,8147764.5,7618705.5,8332597,7496487,8105759,7791756,7093363,7791590,7483549.5,7498006,7924923,8150840.5,8028014,7820879,7643522,8000238,8129078,8142479.5,7759912.5,7779830.5,8233322,8697513,7967016,8123755,8071683.5,8267398.5,7910056,7958668.5,8385195.5,7949952.5,8106261,7372362,7563393,8281100.5,8294162.5,7673068.5,7514962.5,8247287,7356008.5,7706961.5,8039824.5,7819769,7449704,7578139
1S65,8611970,8792587,8636528,7903756.5,9734458,9742135,10772181,10552080,11291498,10576321,9850085,9874381,9204805,8802449,8886037,8306035,8104871.5,7568421.5,8268068.5,7423801.5,8015509.5,7687202.5,6989259,7674304.5,7358117,7369747,7771950,7998172.5,7856167.5,7647110,7455646.5,7788599,7825336.5,7838802,7483827,7494492.5,7853170.5,8281354.5,7580771,7716097.5,7662225,7842948,7495701,7562549.5,7938084,7532250.5,7701638,6980578,7153621,7829740.5,7837913.5,7263348.5,7105290,7788869.5,6940967,7269422,7575767,7389289,7032834,7149630.5
1S7,8611969,8779880,8631350,7905248.5,9743444,9738856,10771796,10550837,11322913,10563705,9849217,9899576,9224710,8814319,8889764,8301364,8091910.5,7548511.5,8238292,7388257,7969152,7630795,6929720.5,7602908.5,7277616.5,7280181.5,7660496.5,7804263,7674797,7459820.5,7222190.5,7529571,7552526,7548139,7189126.5,7187804.5,7528862.5,7933569,7254941,7368580,7309531,7473683,7127026,7178373.5,7536001.5,7136545.5,7289279,6604019,6762350.5,7407810.5,7397441.5,6873642,6720759,7357364.5,6548933.5,6854520,7133870.5,6948084.5,6616667.5,6725102.5
1S75,8611969,8767892,8624762,7903795.5,9746907,9737961,10771722,10550519,11345416,10554764,9848632,9921542,9243995,8828578,8899119,8305188.5,8089895.5,7541193.5,8224390,7370188.5,7943549,7597836.5,6893114,7557025.5,7223048.5,7205843,7574854.5,7663233,7517165,7296813.5,7049648.5,7331668,7344649,7322824,6956755.5,6942097.5,7265216,7647071.5,6983377,7075987.5,7009850.5,7157303,6808699,6844187,7183712.5,6787405.5,6922957.5,6267292,6410247.5,7025826.5,6996388.5,6502494,6356777,6950404,6179764,6463838.5,6717441.5,6531689,6223089.5,6322692
1S8,8611969,8757835,8618773,7901817.5,9748522,9737781,10771738,10550474,11363084,10547781,9848186,9941074,9262204,8843455,8910957,8313269.5,8093769,7540995,8219831.5,7362473.5,7930653.5,7579730.5,6871542,7527900,7187289.5,7138677.5,7489414,7566072,7406074,7179359.5,6922899,7183694.5,7186709,7149074,6775073.5,6747520,7053938,7414927,6761046.5,6834106.5,6759823,6891033,6538565,6558348.5,6880110.5,6484348.5,6602797.5,5971067,6091557,6593422.5,6608801,6104188.5,5921370.5,6464397.5,5738765.5,5982614.5,6223268,6064072.5,5734419.5,5808008.5
1S85,8611969,8749364,8613416,7899623.5,9748948,9738036,10771801,10550591,11376601,10542463,9847854,9942573,9277783,8857855,8923570,8323002.5,8100169.5,7544068,8219840,7360014,7924529,7569825.5,6858599,7509163.5,7163591,7093320,7430241.5,7497291.5,7325775,7091167.5,6826776,7070279,7064316.5,7013136,6631435,6592093,6883478.5,7225843,6578324.5,6633631,6519819,6597571,6264836.5,6268928,6487231.5,6117324,6199814.5,5562499.5,5652114,6111236,6097031,5620040,5443375,5926145.5,5246862.5,5458101,5660015.5,5496734.5,5194292,5251901
1S9,8611969,8741243,8607016,7895232.5,9744976,9740174,10772116,10551450,11377834,10542094,9847867,9942533,9278560,8857636,8921892,8319616.5,8094939.5,7537134,8209948.5,7348280.5,7909035.5,7550521.5,6837680,7482459.5,7131824,7035162.5,7358267.5,7417301,7235798,6993540,6723617.5,6951505.5,6938549,6875588,6487929,6438362,6716229,6994505,6297659,6338084.5,6197776,6252796.5,5913154,5894737.5,6087547.5,5716119.5,5773578,5165897,5232440,5650624.5,5607948,5157084.5,4986000,5410781,4775570.5,4955231.5,5119608,4951960,4675187.5,4716943.5
