UF,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
3S6,8611970,8799692,8634204,7894287,9714571,9750527,10773263,10555315,11255612,10591034,9851189,9859930,9200567,8810222,8906793,8338552,8095689,7503655,8135500,7298568,7918815.5,7712826.5,7102108,7644273,7507918.5,7204401,7900529.5,7612185,7672988,7601844,7550903,8219458,7774995,7803298,7501127,7805026.5,7996227.5,8236450,7297678,7420013.5,7449360,7318976,7007680.5,7612366.5,7690433.5,7267930,7318892.5,6592555.5,6991308.5,7252628,7592062,7064265,6832241,7507724.5,6690850,6911924,7296680,7399847.5,6827355.5,7041377.5
3S65,8611970,8792587,8636528,7903756.5,9734458,9742135,10772181,10552080,11291498,10576321,9850085,9874381,9204805,8802449,8886037,8306035,8052764.5,7453242.5,8070634.5,7225646,7828298,7611140,7001119.5,7528634.5,7394441.5,7079550,7752767,7450501.5,7505591.5,7420389,7361127.5,7954902.5,7551621.5,7582439.5,7273342.5,7517861.5,7678605,7908081.5,7035236.5,7179232.5,7188710,7066275,6765998,7332179.5,7418275,7023268,7074774,6378173,6760747.5,7002796.5,7334218,6805171.5,6566873,7210595,6425756,6648972,7023014,7085500.5,6552900,6742797.5
3S7,8611969,8779880,8631350,7905248.5,9743444,9738856,10767467,10534684,11299398,10496440,9771086,9844598,9173066,8767549,8848828,8270453,8014565.5,7411031.5,8013019,7159690,7740348.5,7506787.5,6890996,7397506.5,7259136,6939588,7592761,7287464.5,7341086,7252245.5,7132974,7678879.5,7276963.5,7310773,7006276.5,7212245.5,7352592,7556177.5,6703904.5,6848745,6838901.5,6742311,6481414.5,6975986.5,7033857.5,6671607,6748720,6084589.5,6396878,6634132.5,6930050,6411258.5,6176544.5,6771780,6026669,6248115.5,6587898,6640589,6132303,6331949
3S75,8611969,8767892,8624762,7903795.5,9746907,9737961,10767406,10534391,11321917,10487518,9770455,9853842,9192292,8782655,8859132,8274980.5,8013026.5,7404003,7999276.5,7141640.5,7714627.5,7473765.5,6854592.5,7351957,7209483.5,6880813.5,7518074.5,7202566,7243522.5,7103654.5,6959965,7480742,7068700,7094720.5,6780587.5,6971875.5,7093217,7273168.5,6434811.5,6570556,6549844,6433637,6180437,6669667.5,6701977,6336510,6407102,5768165,6060278.5,6263748.5,6554057,6052528,5821191.5,6371692,5661976.5,5860865,6174264.5,6226521.5,5740493,5938977
3S8,8611969,8757835,8618773,7901817.5,9748522,9737781,10767432,10534369,11339603,10480568,9769994,9852111,9210465,8799019,8872638,8284306,8017744,7404321,7995051.5,7134052,7701696.5,7455540.5,6832932,7322712,7175994,6840486,7444593.5,7131651,7137121.5,6985098.5,6832501.5,7332299.5,6910263,6927787,6603888,6781352,6885246,7043780,6214462,6336066.5,6305324.5,6171394.5,5923192,6394068,6405979.5,6038798,6095410,5477607,5753096,5927104.5,6204312.5,5720935,5493737.5,6003355,5326022,5503551,5791708,5842482.5,5376008.5,5553129.5
3S85,8611969,8749364,8613416,7899623.5,9748948,9738036,10767506,10534510,11353140,10475291,9769667,9850819,9226025,8813595,8885449,8294181,8024249.5,7407476,7995127,7131570,7695454,7445438.5,6819762,7303668.5,7153229,6812505.5,7386036,7063327,7059910,6897512.5,6736827.5,7219274,6788041,6797300,6464202,6629143.5,6717453,6856976,6033424.5,6137025,6097627,5948184,5703318,6157328.5,6150497.5,5780521.5,5819727,5220326.5,5422953.5,5606460.5,5809297,5325097.5,5090093,5543647.5,4904095,5058241,5299864,5295115.5,4874061,4997571.5
3S9,8611969,8741243,8607016,7895232.5,9744976,9740174,10767830,10535398,11354410,10475017,9769773,9850879,9226855,8813416,8883802,8290818.5,8019027.5,7400531,7985196.5,7119797.5,7679910.5,7426204.5,6799151.5,7277463.5,7124741.5,6778894.5,7316526,6985303,6974793.5,6803392,6636168,7102423,6663495.5,6666110.5,6325166,6478906,6552976,6674907.5,5857809.5,5944691,5896325.5,5733718.5,5492582.5,5794808.5,5778609,5424152.5,5439173.5,4839566,5004335,5146672.5,5320931.5,4862686.5,4633155.5,5028673.5,4433073.5,4555571,4759604.5,4750457,4355019.5,4462663
