UF,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
2S6,2407.32471,2031.07385,2331.89941,1787.61365,1397.10938,1000,1000,1657.67603,1079.81616,1000,1000,1284.44775,1586.25977,1525.05005,1180.45215,1808.09473,1775.35388,2126.69043,1809.07434,1925.83313,1537.88416,1691.94299,1768.54187,2153.69287,1937.87439,2269.89404,1657.63232,1916.69568,2012.8551,2399.39404,2547.15332,1675.99878,1928.97888,1869.50085,2543.87036,2208.17236,2018.78894,1678.42236,1859.93372,2180.95532,1549.09155,1664.0957,2695.45728,1806.71704,1605.18958,1663.66138,1805.48633,2388.25293,1682.33301,2009.6676,1931.95947,1986.12231,2003.62671,1802.71204,1853.88806,1904.41211,2102.7085,1710.20544,2170.22021,2093.14331
2S65,2407.32471,2032.71423,2331.37402,1785.44043,1391.71704,1000,1000,1658.14404,1071.1665,1000,1000,1284.80176,1585.16211,1526.07617,1185.44995,1817.9375,1789.80139,2145.43823,1826.07654,1951.26648,1570.76282,1731.36609,1811.02783,2205.31787,1973.47131,2323.15576,1702.18848,1982.14697,2088.61182,2449.58301,2599.31421,1734.26904,2011.32727,1956.26221,2640.12842,2265.31006,2081.56885,1747.16235,1950.50964,2283.97803,1613.52295,1756.77539,2805.63281,1874.12036,1702.21094,1769.25513,1916.82825,2497.91553,1747.3595,2109.17603,2009.14331,2085.77393,2079.73267,1883.04492,1956.04492,2016.87915,2217.47656,1785.59363,2274.02124,2167.55151
2S7,2407.32471,2035.64575,2332.58154,1785.11414,1389.54272,1000,1000,1658.30664,1063.61841,1000,1000,1285.36621,1580.37402,1520.67896,1181.82227,1816.82666,1791.97888,2150.86035,1833.29749,1962.99536,1587.35779,1752.74329,1835.40405,2236.28955,1996.01648,2357.39282,1731.46631,2025.57971,2129.59521,2485.47607,2637.03101,1777.8208,2072.9043,2002.00464,2706.78418,2321.58496,2146.43164,1815.9469,2031.96594,2358.82275,1673.60938,1837.6123,2900.35742,1944.47168,1796.30396,1864.04871,2014.43225,2587.93652,1812.73242,2201.01855,2080.81006,2158.56885,2153.49878,1965.39685,2058.78076,2104.24512,2294.38184,1874.14587,2387.45898,2252.91357
2S75,2407.32471,2038.41077,2334.11182,1785.46521,1388.89453,1000,1000,1658.33325,1058.21899,1000,1000,1285.75732,1575.71899,1514.86011,1176.77319,1813.08313,1790.41138,2151.5249,1836.32129,1968.49561,1595.93591,1764.60327,1849.69946,2255.29932,2010.47388,2375.44531,1751.6073,2055.83301,2154.08276,2512.42432,2665.5957,1829.3866,2136.9021,2047.89246,2754.12744,2384.68848,2214.33789,1889.91113,2129.70679,2428.94629,1750.05884,1936.05811,3009.43701,2026.25269,1904.49072,1987.72974,2142.02441,2663.75952,1901.82239,2330.35645,2183.0127,2256.22266,2250.13232,2074.05908,2169.91309,2208.18359,2405.67725,1985.69604,2536.91284,2357.5918
2S8,2407.32471,2040.72986,2335.50146,1785.93445,1388.71436,1000,1000,1658.323,1053.98486,1000,1000,1286.05908,1574.19922,1510.15332,1171.43066,1808.08118,1786.81738,2149.50806,1836.87903,1970.24182,1599.56934,1770.46973,1857.51526,2266.38574,2019.56006,2386.17505,1765.30359,2076.79224,2171.50366,2531.93848,2698.74512,1867.89636,2192.99023,2091.68018,2800.35742,2434.45459,2268.51074,1949.5603,2209.11548,2489.51904,1813.50317,2026.94897,3106.24927,2096.42627,1980.79504,2092.12695,2226.78125,2738.92334,1981.86499,2449.48682,2273.76416,2342.96533,2336.13794,2171.04565,2258.48438,2302.44409,2506.61963,2087.021,2638.69604,2455.81836
2S85,2407.32471,2042.68274,2336.74365,1786.45129,1388.82349,1000,1000,1658.29102,1050.74683,1000,1000,1286.28687,1574.43457,1506.57813,1166.6355,1803.16492,1782.82031,2146.63477,1836.36621,1970.25598,1600.76904,1773.22034,1861.79968,2273.02148,2025.4895,2393.42114,1774.81726,2091.60791,2184.14795,2546.77197,2723.56494,1897.146,2236.00317,2125.82422,2836.81152,2474.1062,2312.09595,1997.99585,2274.00684,2539.53687,1866.31494,2103.04199,3163.53174,2158.21777,2047.44958,2166.302,2298.06689,2805.62842,2052.66968,2534.38086,2355.86328,2420.95288,2413.28564,2258.04492,2338.05103,2387.32104,2601.27612,2195.1377,2737.91016,2570.27295
2S9,2407.32471,2044.55505,2338.22461,1787.47375,1390.13623,1000,1000,1658.15283,1050.46118,1000,1000,1286.28809,1574.43555,1506.63672,1167.06274,1804.18127,1784.53784,2149.12402,1838.97168,1974.43396,1606.62402,1780.75696,1870.45129,2284.04224,2033.58533,2402.65552,1786.30469,2108.96191,2198.28052,2571.66211,2750.021,1927.71729,2280.42773,2160.41577,2873.35303,2513.50073,2355.07715,2045.46265,2320.43481,2589.45166,1918.21533,2177.23096,3218.77686,2217.56006,2111.26978,2230.66846,2366.64746,2874.75928,2144.04053,2626.41724,2467.48071,2532.7876,2527.76074,2389.27295,2459.36621,2516.59912,2740.71777,2335.66699,2871.83887,2708.30249
