UF,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
1S6,2407.32471,2031.13208,2332.01123,1788.12695,1398.78003,1000,1000,1657.53833,1088.66406,1000,1000,1305.80835,1619.56958,1564.5708,1225.16553,1948.20703,1963.00879,2340.01758,1952.42151,2006.81262,1491.61084,1656.203,2128.13428,1986.47253,2570.62939,1960.97571,2615.58643,1851.93774,2012.03809,2323.70557,2112.51611,2650.5188,2093.33203,1954.87,2238.50195,2706.96484,2575.46533,2404.9895,2170.05591,2425.69971,2418.76685,1978.48938,2097.26074,2604.56885,1919.61194,2148.76758,2295.00049,2364.85156,2786.17432,1779.18127,2182.56982,2544.89355,2333.55615,2141.66162,2418.89844,2119.72705,1919.63159,2363.56445,2336.56055,2551.78418
1S65,2407.32471,2032.77209,2331.48633,1785.9552,1393.39551,1000,1000,1658.00635,1080.10571,1000,1000,1302.19873,1616.96729,1565.2771,1230.17676,1957.97314,1977.10815,2358.06909,1968.21606,2030.36267,1513.61609,1689.89587,2167.77393,2017.71545,2610.17627,1995.93323,2672.06787,1893.01135,2072.66406,2367.98486,2158.50806,2700.5332,2163.104,2023.53845,2318.45654,2771.21411,2661.41602,2499.2793,2257.76855,2518.53076,2512.17212,2075.42944,2200.31226,2695.29199,2021.93921,2276.3894,2388.55322,2455.26123,2880.47925,1882.77283,2330.25,2640.11646,2428.5459,2247.60645,2514.56738,2220.41553,2026.33264,2496.22021,2433.57568,2651.48242
1S7,2407.32471,2035.70374,2332.69336,1785.62878,1391.22314,1000,1000,1658.16846,1072.62256,1000,1000,1296.073,1609.62769,1559.44214,1226.89575,1957.27271,1979.51746,2363.48901,1975.05481,2041.3822,1525.18787,1708.49072,2190.6394,2036.89783,2631.50391,2019.01331,2701.20215,1938.00134,2131.07642,2410.15137,2211.08057,2758.9541,2224.75977,2089.49707,2385.67139,2841.49731,2735.99268,2579.45166,2332.93994,2598.71289,2593.48438,2160.48633,2285.08862,2783.52734,2114.23584,2367.16895,2483.12988,2541.62817,2970.21143,1979.54907,2471.67749,2730.92065,2518.11914,2347.91602,2605.47314,2316.3877,2128.30615,2597.83789,2529.29541,2748.99512
1S75,2407.32471,2038.46826,2334.22314,1785.97925,1390.57544,1000,1000,1658.19507,1067.26489,1000,1000,1290.75854,1602.79565,1553.26636,1222.19287,1953.96167,1978.27173,2364.32666,1977.99658,2046.63684,1531.41174,1718.97559,2204.12134,2048.95825,2645.21289,2036.68518,2720.86963,1969.8512,2179.19946,2447.61157,2250.87012,2804.70068,2272.87573,2141.57275,2439.28784,2898.10596,2796.63672,2645.28027,2395.27466,2665.86523,2662.25635,2233.11621,2358.14355,2860.22144,2195.10913,2447.31104,2567.20752,2618.90771,3050.99316,2067.17407,2572.19263,2816.3418,2601.87402,2441.5083,2690.32861,2406.146,2223.93604,2693.42969,2619.63281,2841.32031
1S8,2407.32471,2040.78711,2335.61279,1786.448,1390.39453,1000,1000,1658.18481,1063.0603,1000,1000,1286.04565,1596.48242,1547.16431,1216.95483,1949.43274,1975.14868,2362.66846,1978.66541,2048.42969,1534.30518,1724.32861,2211.55957,2056.22314,2653.83789,2052.31104,2740.49048,1992.07422,2213.33789,2474.87354,2280.31714,2839.07715,2309.55029,2181.8042,2481.23633,2942.93091,2845.20947,2698.58203,2446.27051,2721.34277,2719.60254,2294.2168,2420.11816,2925.80298,2264.79102,2516.8623,2640.67725,2686.88086,3124.09399,2166.3103,2661.05957,2907.69287,2701.70313,2552.92456,2791.42822,2516.47266,2337.24561,2800.67285,2731.70361,2959.32813
1S85,2407.32471,2042.74023,2336.85498,1786.96436,1390.50244,1000,1000,1658.15308,1059.84448,1000,1000,1285.61499,1592.55591,1542.1748,1212.05566,1944.79065,1971.49792,2360.10034,1978.31299,2048.5874,1535.49939,1726.96521,2215.67529,2060.73438,2659.45752,2062.84375,2754.13477,2007.91858,2234.94067,2495.31543,2302.60156,2865.36572,2337.90747,2213.27563,2514.40137,2978.72998,2884.37744,2741.95972,2488.13843,2767.27686,2774.59741,2361.4917,2482.87012,2992.16846,2354.88257,2601.03857,2733.09961,2780.57324,3224.8396,2276.84717,2778.36304,3018.70898,2811.28516,2676.28931,2904.15088,2636.6543,2466.29736,2930.6687,2855.47607,3086.73853
1S9,2407.32471,2044.61206,2338.33594,1787.98584,1391.8125,1000,1000,1658.01514,1059.55127,1000,1000,1285.6167,1592.36011,1542.13916,1212.42578,1945.74109,1973.12024,2362.44824,1980.71472,2052.42676,1539.50354,1733.42566,2223.69141,2067.51538,2667.08301,2076.229,2770.4541,2026.05725,2255.41211,2517.61108,2326.24268,2892.67041,2366.87891,2245.00342,2547.48779,3014.1377,2922.8396,2795.08374,2552.50977,2835.04395,2848.41992,2440.54321,2563.47852,3077.93652,2446.52515,2693.03101,2830.83252,2871.51123,3321.03418,2382.39746,2890.39795,3124.77393,2916.03198,2794.29175,3012.06641,2751.82031,2590.0835,3055.48462,2974.43457,3209.3147
