UF,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
4S6,8611970,8799304,8633440,7890623.5,9704404,9720074,10723599,10475023,11172215,10373922,9591783,9616547,8974188,8551496,8601214,8003786.5,7731468.5,7120956,7665781,6847389.5,7381674.5,7149532.5,6543643,7007897,6838129,6557863,7156518.5,6898389.5,6927168,6830443.5,6769803.5,7358488,6968452,6970011.5,6678799,6901687,7080026.5,7298813,6473486.5,6563696,6555554,6464913.5,6184507.5,6664515,6752337.5,6374566.5,6403492,5746722.5,6057127,6311073.5,6586899,6123237,5903162.5,6481641,5776478.5,5954806,6266853.5,6328751,5864466.5,6028829
4S65,8611970,8792198,8635766,7900094,9724298,9711710,10722541,10471766,11207960,10358704,9589843,9611755,8977669,8544177,8580942,7980811,7688215.5,7069391.5,7599402,6773434.5,7290426,7050188,6445591.5,6896101.5,6730235,6442038.5,7032005,6764557.5,6795451,6708870,6652001.5,7227438,6829428.5,6837231.5,6560503.5,6803783.5,6965038,7166850,6345584.5,6440046,6451072.5,6336793.5,6061525.5,6568729.5,6634188,6260927.5,6294424.5,5659212.5,5987279,6208974.5,6487998.5,6030283,5824040.5,6394629,5694965.5,5875301.5,6193369.5,6274499,5790429.5,5964219
4S7,8611969,8779492,8630587,7901588,9733291,9708462,10722216,10470596,11239385,10346045,9588706,9608265,8981662,8557689,8587538,7978430,7676694.5,7050105.5,7569605.5,6737532,7243286.5,6995654.5,6388589.5,6827531,6660562,6363511,6941869,6661803,6686417.5,6599522,6533630,7090675,6683461,6689559.5,6409517,6657725.5,6796723,6984938.5,6170572.5,6262940.5,6284840.5,6150649.5,5879919.5,6395398.5,6441193,6074157.5,6107839.5,5497383.5,5831846,6022014,6296952,5842245.5,5637450,6180981,5498208,5680335,5996431.5,6071088.5,5595739,5767110.5
4S75,8611969,8767502,8623998,7900136.5,9736762,9707594,10722198,10470365,11261945,10337213,9588091,9606021,8980046,8573528,8600048,7984921,7676526.5,7043819,7556158,6719443.5,7217200.5,6963294,6352803.5,6782468,6611403,6305720.5,6872778,6582147,6600098.5,6503932.5,6431701,6939308.5,6558926.5,6562631,6275142.5,6436678.5,6545907,6710706.5,5942074,6049715,6027188.5,5932420.5,5689368.5,6102220.5,6145276.5,5819369.5,5873750,5283590,5545646,5743543,5988924.5,5532230,5323362.5,5828678.5,5181006.5,5365231.5,5650970,5691144.5,5250302.5,5416835.5
4S8,8611969,8757446,8618010,7898160.5,9738384,9707438,10722261,10470396,11279671,10330365,9587680,9604350,8978852,8589853,8614806,7993635,7682164.5,7044764,7552268.5,6711870,7203966.5,6944919.5,6330848,6752714.5,6577323.5,6264988,6822034.5,6523243,6535143,6430824.5,6343514.5,6791869.5,6404495.5,6397201,6100099.5,6248240.5,6340437,6484268,5724621,5822817,5789373.5,5676249,5437738,5851540.5,5869329.5,5537603,5584294.5,5016943,5259863,5426348,5666046.5,5222552,5015232,5480352,4862247,5025360.5,5286705,5325792,4902989.5,5067571
4S85,8611969,8748976,8612653,7895968,9738815,9707712,10722366,10470584,11293250,10325187,9587420,9603135,8977997,8604423,8628715,7991604.5,7689497.5,7049159,7553474.5,6709954.5,7197883.5,6934639,6317241,6732981.5,6553741,6236239,6784395.5,6479366.5,6486146.5,6375105.5,6247116.5,6678350,6282054,6266689.5,5960580.5,6096479,6173395.5,6298542,5544783,5633416,5589288.5,5459214.5,5222869,5620671.5,5619363.5,5284455.5,5320514,4768936.5,4996092.5,5135221.5,5363243.5,4933754,4728535,5156299,4565330.5,4708137.5,4945717,4957390,4564903.5,4672499.5
4S9,8611969,8740854,8606254,7891578,9734847,9709864,10722720,10471522,11294580,10325076,9587708,9603422,8978261,8604392,8627280,7991880,7684475,7042187.5,7543479.5,6698182.5,7182401,6916459.5,6297808,6708085,6526681,6204274.5,6743903,6433207,6436215,6319055.5,6148464.5,6564132.5,6160277,6138650.5,5824742.5,5949901,6012950.5,6120908.5,5373288.5,5449638.5,5396894,5251631,5018373,5400898,5381944,5044315,5064159,4529761,4686289,4823631.5,4977977,4544046.5,4326582.5,4693171.5,4135358.5,4248495,4435267.5,4418616,4051265.75,4143289.75
