UF,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
4S6,2407.32471,2031.07385,2331.89941,1787.61365,1397.10938,1000,1000,1657.67603,1076.19775,1000,1000,1284.375,1575.8186,1510.83472,1165.63257,1795.23083,1761.91541,2112.76099,1798.8064,1910.59119,1518.177,1668.31396,1743.17664,2123.16602,1917.27832,2239.42505,1632.58423,1880.17896,1970.85669,2359.43994,2519.77441,1644.7146,1884.20605,1819.37549,2489.49512,2176.07959,1983.25317,1633.16296,1806.54761,2121.78613,1512.18103,1610.56128,2631.33887,1766.94873,1547.69653,1600.70679,1738.62561,2321.94189,1642.51904,1948.58203,1864.96448,1917.26294,1936.52173,1733.72083,1787.93689,1836.70825,2029.71387,1664.06445,2105.75146,2045.93921
4S65,2407.32471,2032.71423,2331.37402,1785.44043,1391.71704,1000,1000,1658.14429,1067.50562,1000,1000,1285.06445,1574.78564,1511.82715,1170.60327,1802.71924,1775.56042,2131.4436,1816.18628,1936.58752,1551.84192,1708.80518,1787.00012,2176.72412,1954.64221,2295.71509,1680.40039,1951.10413,2054.00562,2428.11865,2577.81787,1711.05054,1979.19543,1925.8457,2605.125,2244.4541,2059.09326,1722.89465,1918.79138,2248.21289,1591.47571,1725.19934,2768.28735,1851.5011,1669.73511,1733.99316,1879.72668,2461.42896,1725.76318,2076.09595,1983.44824,2054.80664,2055.74316,1855.75476,1921.41943,1978.83459,2183.05469,1759.62512,2238.42529,2142.17188
4S7,2407.32471,2035.64575,2332.58154,1785.11414,1389.54272,1000,1000,1658.30664,1059.93018,1000,1000,1285.63086,1573.7561,1507.78442,1167.20264,1801.50305,1777.58447,2136.7793,1823.46484,1948.46802,1568.74304,1730.70007,1812.14282,2208.94946,1978.45422,2332.12842,1711.95605,1998.22131,2109.58252,2466.23193,2618.34473,1757.3396,2045.60486,1983.3905,2681.0437,2295.25146,2116.21777,1784.18127,1999.72681,2340.72485,1649.96265,1809.87024,2869.61108,1914.8457,1760.9021,1833.70898,1985.53809,2566.28491,1788.62207,2172.75293,2058.96729,2134.1499,2128.05322,1937.65259,2025.16858,2083.54102,2270.56592,1841.34692,2347.94116,2222.32129
4S75,2407.32471,2038.41077,2334.11182,1785.46521,1388.89453,1000,1000,1658.33325,1054.51489,1000,1000,1286.02295,1574.16162,1503.82373,1162.48999,1797.62732,1775.78796,2137.26611,1826.47156,1954.00171,1577.44995,1742.82288,1826.86096,2228.67578,1993.63745,2355.62695,1732.84729,2029.93555,2136.12891,2494.61768,2648.4519,1800.85754,2098.95752,2021.18774,2728.06201,2358.51025,2187.573,1862.06006,2094.00244,2403.46729,1724.59155,1900.74756,2968.5061,2001.96277,1878.85938,1953.40979,2103.9375,2641.41553,1878.29761,2295.69946,2157.13916,2231.9043,2226.44043,2047.78821,2146.31396,2183.46338,2379.604,1959.90601,2502.63525,2333.94116
4S8,2407.32471,2040.72986,2335.50146,1785.93445,1388.71436,1000,1000,1658.323,1050.26904,1000,1000,1286.32544,1574.47437,1499.75293,1157.22046,1792.99548,1772.24268,2135.19238,1826.97339,1955.70532,1581.0874,1748.76453,1834.84204,2240.07666,2003.07312,2369.37646,1746.86792,2051.54639,2154.21777,2514.91162,2672.77344,1840.9624,2156.61182,2066.80566,2776.25732,2410.42725,2244.12012,1924.35339,2176.95215,2466.79395,1790.92981,1995.79407,3082.55225,2074.31982,1958.05078,2062.0835,2205.00415,2719.19971,1961.62085,2420.08838,2252.29443,2323.00928,2316.87109,2149.84717,2239.57178,2282.75732,2485.97607,2066.71313,2619.77979,2436.75049
4S85,2407.32471,2042.68274,2336.74365,1786.45129,1388.82349,1000,1000,1658.29077,1047.02271,1000,1000,1286.5542,1574.71021,1496.12817,1152.35986,1791.29297,1769.43408,2132.6228,1826.26978,1955.53491,1582.1615,1751.46216,1839.15222,2246.83252,2009.17749,2376.86499,1756.72351,2066.89063,2167.31201,2529.82617,2698.46582,1871.23511,2201.12549,2102.15137,2814.0332,2451.56128,2289.37793,1974.68835,2244.41602,2518.84839,1845.90527,2075.01514,3144.12524,2138.52197,2027.38757,2147.09937,2278.61719,2788.36475,2035.22693,2516.06641,2337.23511,2404.01709,2397.21167,2240.60156,2322.6665,2371.46387,2581.29224,2169.37842,2714.07959,2546.39966
4S9,2407.32471,2044.55505,2338.22461,1787.47375,1390.13623,1000,1000,1658.15283,1046.74268,1000,1000,1286.55444,1574.71143,1496.19873,1152.80762,1791.47327,1770.85828,2135.06494,1828.96741,1959.83997,1588.18506,1759.23267,1848.11914,2258.33496,2017.72681,2386.65894,1768.92493,2085.26758,2182.21606,2546.36377,2726.24121,1903.27466,2247.63525,2138.32056,2852.22827,2492.73828,2334.30566,2024.30811,2301.59229,2570.31055,1899.71082,2152.13159,3201.74072,2200.46729,2094.04785,2214.35229,2350.28052,2855.15186,2120.92529,2602.37793,2443.25146,2510.95288,2507.21118,2367.15234,2440.00635,2496.79224,2720.27417,2315.84863,2853.6333,2690.19141
