UF,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
4S6,197427,207027,216434.5938,225635.1719,234632.375,278629.2813,321673.5313,363809.0625,363809.0625,363809.0625,363809.0625,363809.0625,363809.0625,401704.0625,439127.6875,476147.8125,512829.9688,549237.125,585429.3125,621463.4375,657393.3125,693044,728442.5625,763613.25,798270.625,831134.9375,862357.75,892067.375,920370.1875,947352.5625,973082.4375,997610.9375,1021031.688,1043423.188,1064850.375,1085366.125,1105012.5,1123822,1141818.375,1159018,1175430.5,1191059.375,1205916.25,1220007.75,1233336.375,1245900.625,1257695.75,1268714.125,1278945.375,1288377,1296994.5,1304781.5,1311720.25,1318106.5,1324455.5,1330766.25,1337038,1343269.625,1349460.25,1355608.75
4S65,197427,206995.625,216383.8906,225590.75,234616.4219,278846.0625,322190.125,364667.5,364667.5,364667.5,364667.5,364667.5,364667.5,402622.2188,439981.5938,476797.2813,513121.125,549004.875,584499.5625,619655.5,653380.6875,682723.625,707961.0625,729356.625,747159.75,761603.875,772905.875,781265.4375,787631.875,793889.4375,800044.375,806102.1875,812070.0625,817954.375,823760.875,829494.6875,835160.375,840762,846303.125,851786.8125,857215.75,862592.1875,867918.625,873197.125,878429.5625,883617.4375,888762,893864.3125,898925.25,903945.5,908925.5,913865.625,918766.125,923627.0625,928448.375,933229.9375,937971.5625,942672.875,947333.5625,951953.1875
4S7,197427,206939.625,216293.3281,225485.9063,234515.9375,278850.1875,322369.3438,365078.25,365078.25,365078.25,365078.25,365078.25,365078.25,403256.5,440778.9688,477681.7813,514002.3125,549778.9375,585050.75,618205.25,647301.25,670678.125,688569.4375,701210.9375,708837.5625,715088.375,721148,727025.6875,732730.3125,738270.3125,743653.8125,748888.375,753983.125,758946.6875,763787.0625,768511.6875,773127.4375,777640.75,782057.4375,786382.875,790622,794779.3125,798859.25,802866,806803.25,810674.375,814482.5,818230.3125,821920.25,825554.5,829135,832663.5,836141.5,839570.3125,842951,846284.625,849571.9375,852813.5625,856010.125,859162
4S75,197427,206891.9688,216213.0781,225387.5313,234413.0469,278787.2188,322402,365254.1875,365254.1875,365254.1875,365254.1875,365254.1875,365254.1875,403645.7188,441352.6563,478399.25,514811.2188,550615.625,585840.6875,617741.125,644682,664936.6875,678675.5625,686081.25,692265.8125,698201.0625,703895.5625,709358,714597,719621.25,724439.1875,729059.125,733491.125,737744.8125,741829.4375,745753.75,749526.1875,753154.75,756646.9375,760009.8125,763250.125,766374.125,769388.0625,772297.75,775108.75,777826.0625,780454.4375,782998.25,785461.5625,787848.125,790161.375,792404.5,794580.4375,796691.8125,798741,800730.25,802661.625,804536.875,806357.625,808125.375
4S8,197427,206853.4219,216147.1875,225305.1719,234324.625,278717.1875,322394.9375,365349.8125,365349.8125,365349.8125,365349.8125,365349.8125,365349.8125,403941.2188,441836.0313,479049.625,515598.75,551501.4375,586776.9375,618618.0625,644877.5,663757.625,675363.3125,681681.6875,687705.9375,693442.4375,698898.1875,704080.5,708997.0625,713655.75,718064.625,722231.75,726167.1875,729880.8125,733382.1875,736680.6875,739785.4375,742705.3125,745448.75,748024,750438.9375,752701.0625,754818,756796.875,758644.5625,760367.5,761971.875,763463.4375,764847.6875,766129.75,767314.5,768406.5,769410,770328.9375,771167.125,771928,772614.75,773230.4375,773777.875,774259.625
4S85,197427,206821.8906,216092.6094,225235.875,234248.625,278645.7188,322363.4688,365390.625,365390.625,365390.625,365390.625,365390.625,365390.625,404152.375,442213.875,479583.875,516272.3125,552290.1875,587649.5625,619923.5,646180.0625,664556.5,675097.9375,681345.8125,687271.4375,692879.25,698174.4375,703162.6875,707850.3125,712244.0625,716351,720178.5625,723736.1875,727033.375,730079.5,732883.875,735455.8125,737804.375,739938.5625,741867.0625,743598.4375,745141,746503.125,747692.9375,748718.25,749586.5,750305,750880.625,751319.9375,751629.3125,751814.8125,751882.125,751882.125,751882.125,751882.125,751882.125,751882.125,751882.125,751882.125,751882.125
4S9,197427,206795.125,216043.7813,225169.4688,234168.8906,278519,322207.375,365220.4375,365220.4375,365220.4375,365220.4375,365220.4375,365220.4375,403990.7813,442050.25,479402.8125,516053.3125,552007.5625,587272.3125,618296.625,642903.0625,659188.875,667153.625,673271.125,679042.4375,684470.4375,689558.75,694311.75,698734.5625,702832.875,706612.9375,710081.4375,713247.1875,716119.125,718706.3125,721017.9375,723063.1875,724851.1875,726391.0625,727691.8125,728762.375,729611.5625,730248.3125,730681.3125,730919.0625,730969.8125,730969.8125,730969.8125,730969.8125,730969.8125,730969.8125,730969.8125,730969.8125,730969.8125,730969.8125,730969.8125,730969.8125,730969.8125,730969.8125,730969.8125
