UF,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
425S2High,1583775.5,1645832.75,1716945,1890832.125,1890431.125,1672669,1757543.125,2233739.75,2124568.75,2263319.25,2392809.25,2560570.25,2439364.5,2599262,2816306.75,2427224.75,2454283.75,2905845.25,2528838.5,2907142.75,2446308.75,3122599.25,2919323.75,2762439.75,3196683.75,3170338.25,3274886.5,3226213.5,3069899.75,3438936.5,3357520.25,3455105.5,3293666.75,3440822.75,3789640.25,3594847,3337282.75,3322974,3469196.75,3659145,3477610,3662363.5,3055403.75,3900122,3240478.5,3659334,3926476,3188302.25,3430415.75,3238056.75,4006822.5,3902067.5,3232562.5,3544572.5,3932384.25,3909266.75,3524170.25,3660755.75,3730144.25,4007915.75,4167378.75
425S2Med,1583775.5,1645832.75,1716945,1890832.125,1890431.125,1672669,1757543.125,2233739.75,2124568.75,2263319.25,2392809.25,2560570.25,2439364.5,2599262,2816306.75,2494745.75,2528922,3002167.25,2619953.75,3020702.5,2549657,3264944,3062606.5,2908114.5,3377446.25,3362206.75,3486616.75,3448645.25,3295219.75,3707191.25,3635418.75,3758066.25,3599155,3777885.5,4181148.5,3985950.25,3719099.5,3722217.5,3906309.25,4141998.25,3957578.75,4190352.25,3514927,4511267,3768879,4279505.5,4617265.5,3769897,4078480.75,3870858,4815924.5,4095831,3927186.25,4329016,4787204.5,4555283.5,4370866.5,4389611.5,4672043,5043954,5269158.5
425S2Low,1583775.5,1645832.75,1716945,1890832.125,1890431.125,1672669,1757543.125,2233739.75,2124568.75,2263319.25,2392809.25,2560570.25,2439364.5,2599262,2816306.75,2599367.75,2639487.75,3138964,2744333.5,3170063.5,2680916.75,3439886.5,3233340.5,3076725.5,3581028.75,3572816.75,3713490,3681652.25,3526298,3976889.75,3909671.25,4051912.25,3890701.5,4094767,4544116.5,4343888,4064397,4079331,4293379.5,4565655.5,4375193.5,4646280,3909034.75,5032223,4216869,4689271,4638308,4256885.5,4619506,4397841,4412216,3328605.5,4503050,4967598,3940002.75,3689091.5,4926661.5,3540966.5,4389117,4071579,5585969.5
