UF,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
425S1High,3701.10156,3271.78735,2672.3877,3076.37085,3157.16211,3003.40869,3466.2522,2845.87695,3310.5625,2490.60571,2696.20874,2511.49707,2899.18481,2500.45166,2419.66699,2259.05566,2846.49805,2842.15503,2785.23462,2468.0542,2537.28394,2399.73535,2473.6145,2296.40625,3055.60547,2201.30615,2726.45605,2386.91357,2526.16968,2456.33521,2456.48511,2523.5332,2203.17651,2394.56616,2651.69092,3013.07104,3091.23633,3037.10107,2276.96338,2880.86279,2695.03711,2586.44385,2286.24072,2762.70557,2358.56006,2434.10547,2460.97217,2456.00513,2877.75781,2693.62817,2528.0835,2249.75537,3015.78223,2731.00317,2512.88037,2470.80908,2799.05859,2458.61377,2734.02759,2714.83276,3193.10962
425S1Med,3701.10156,3271.78735,2672.3877,3076.37085,3157.16211,3003.40869,3466.2522,2845.87695,3310.5625,2490.60571,2696.20874,2511.49707,2899.18481,2500.45166,2419.66699,2229.33984,2814.01074,2800.68628,2746.43555,2420.20752,2494.18066,2340.90601,2415.06152,2237.41162,2982.99146,2124.98389,2642.90698,2299.8833,2438.77051,2353.19678,2350.58374,2409.10205,2088.83838,2269.56201,2507.91016,2870.91504,2953.8562,2895.03052,2123.24121,2712.84717,2529.95093,2406.85864,2131.7876,2559.70459,2185.20386,2233.09595,2239.85181,2272.1709,2675.38721,2498.44287,2281.58301,2005.18225,2809.51123,2501.14746,2254.00244,2210.01904,2560.93506,2208.354,2476.18628,2435.04932,2899.80542
425S1Low,3701.10156,3271.78735,2672.3877,3076.37085,3157.16211,3003.40869,3466.2522,2845.87695,3310.5625,2490.60571,2696.20874,2511.49707,2899.18481,2500.45166,2419.66699,2183.29614,2765.88232,2741.78174,2693.45459,2357.24292,2439.3938,2268.5249,2345.18652,2168.99341,2900.99902,2040.93066,2553.01294,2208.25415,2348.59692,2248.77393,2245.2373,2297.13281,1978.67529,2150.85059,2372.90894,2739.13013,2827.9978,2766.30103,1985.36572,2563.54883,2384.32178,2249.66797,1997.54858,2384.38623,2036.30835,2061.30884,2051.70557,2116.34082,2504.38892,2333.95313,2074.29199,1799.85864,2636.55078,2306.13916,2034.55688,1989.07983,2359.21582,1996.16528,2257.42749,2197.40771,2650.41235
