UF,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
1S6,17493400,17396760,17383112,17377978,17369238,17299206,17178232,17019738,16949290,16999618,16978356,16940872,16904008,16864026,16869552,16865946,16826518,16902090,17003906,17111578,17199944,17285792,17276854,17274832,17318050,17351946,17377282,17398464,17411590,17400112,17407014,17411132,17423544,17433912,17435884,17428052,17434264,17438552,17449672,17451620,17457580,17457252,17467410,17468244,17466162,17467922,17457368,17457372,17462600,17465482,17468326,17430842,17435862,17442810,17447890,17451628,17453818,17454002,17442328,17447058
1S65,17493400,17396816,17383198,17378054,17369254,17298622,17176506,17017732,16947568,16998432,16976454,16939436,16903024,16862826,16868298,16865276,16827168,16904814,17009282,17117432,17209332,17300174,17302316,17314640,17366610,17407184,17432704,17455176,17460638,17443104,17435710,17424696,17423938,17424160,17419634,17415498,17421996,17427844,17441376,17445640,17453478,17454194,17464754,17468416,17465512,17465950,17465700,17464366,17467314,17467622,17468002,17443412,17446626,17450826,17453582,17455844,17457338,17457424,17457650,17462570
1S7,17493400,17396900,17383336,17378216,17369396,17298574,17175892,17016840,16946734,16997794,16974958,16938160,16902018,16860962,16865408,16861746,16823696,16902040,17007846,17118722,17216738,17313280,17322218,17341184,17395524,17433224,17450062,17460586,17453218,17435130,17425346,17414204,17414164,17416442,17414826,17413842,17423176,17431188,17446050,17450826,17458498,17458596,17468368,17471232,17467642,17467620,17467144,17465758,17468800,17469232,17469748,17459356,17462626,17465346,17465916,17465824,17465050,17463182,17461856,17465628
1S75,17493400,17396970,17383458,17378370,17369546,17298708,17175774,17016510,16946376,16997480,16973948,16937242,16901248,16859368,16862774,16858302,16819964,16898478,17004964,17117944,17219308,17319218,17332398,17355888,17407694,17439712,17450426,17456028,17448450,17435786,17427308,17417190,17417952,17419842,17417476,17415688,17424390,17432030,17446822,17451748,17459700,17460118,17470192,17473272,17469778,17469764,17469230,17467734,17470670,17470976,17471396,17463924,17467194,17469606,17469730,17469184,17467952,17465692,17464064,17467612
1S8,17493400,17397028,17383558,17378498,17369678,17298870,17175798,17016366,16946186,16997290,16973180,16936520,16900624,16857972,16860374,16855036,16816238,16894634,17001416,17115334,17218354,17320372,17336436,17361418,17411998,17442064,17450792,17455614,17448168,17439136,17431202,17421344,17422216,17423388,17419988,17417204,17425158,17432372,17447076,17452168,17460436,17461222,17471644,17474984,17471630,17471660,17471098,17469516,17472362,17472560,17472904,17465448,17468748,17471206,17471400,17470952,17469772,17467570,17465990,17469556
1S85,17493400,17397074,17383640,17378606,17369790,17299038,17175900,17016336,16946104,16997182,16972608,16935966,16900132,16857322,16859052,16852926,16813544,16891582,16998336,17112506,17216216,17319520,17337532,17363366,17413856,17443466,17451624,17456458,17449122,17441426,17433724,17424004,17424976,17426240,17422078,17418400,17425578,17432276,17446800,17452000,17460582,17461788,17472664,17476416,17473336,17473518,17473060,17471474,17474288,17474428,17474732,17467272,17470574,17472918,17472906,17472260,17470922,17468652,17467082,17470696
1S9,17493400,17397114,17383714,17378710,17369912,17299350,17176402,17016776,16946428,16997360,16972632,16935910,16900038,16857214,16858928,16852834,16813592,16891878,16998988,17114394,17220006,17324912,17344868,17369708,17417350,17443996,17449788,17454502,17447496,17440400,17433412,17424420,17426078,17427954,17423698,17419634,17426376,17432724,17447084,17452334,17461154,17462684,17473928,17478012,17475176,17475518,17475140,17473512,17476154,17475962,17475860,17467990,17471004,17473234,17473298,17472906,17471804,17469770,17468428,17472236
