UF,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
3S6,17493400,17396760,17383112,17377978,17369238,17299206,17178232,17019738,16949290,16999618,16978356,16940872,16904008,16864026,16869552,16865946,16825038,16886424,16967298,17074194,17152378,17241076,17254006,17275206,17296506,17335182,17359212,17381668,17355460,17365966,17381916,17399720,17411054,17381498,17385024,17383792,17396368,17402890,17410562,17376164,17373710,17379658,17338842,17320760,17340862,17338636,17311248,17294870,17304312,17329832,17318492,17338832,17364916,17385288,17401880,17396402,17398016,17406592,17411288,17383614
3S65,17493400,17396816,17383198,17378054,17369254,17298622,17176506,17017732,16947568,16998432,16976454,16939436,16903024,16862826,16868298,16865276,16825690,16889144,16972650,17080028,17161752,17257244,17281898,17317464,17352658,17395632,17419726,17437182,17408006,17406062,17407220,17410184,17408388,17378050,17375536,17376296,17388188,17395248,17404260,17382140,17387602,17392926,17358578,17348846,17364300,17365642,17344692,17334546,17348872,17365798,17353104,17364272,17381510,17394344,17405602,17407020,17413598,17420992,17424038,17405182
3S7,17493400,17396900,17383336,17378216,17369396,17298574,17168990,16990786,16888892,16898920,16840302,16783978,16747819,16723703,16753853,16776225,16754963,16822078,16893594,16979302,17036830,17107674,17115584,17143766,17182746,17234290,17273436,17308258,17301704,17320396,17340080,17358676,17370322,17357438,17360456,17362514,17371026,17374354,17378500,17364360,17366574,17369158,17341510,17342018,17354046,17360896,17352160,17354740,17362546,17371072,17361530,17365388,17373576,17379188,17384372,17388078,17391264,17395112,17396274,17390378
3S75,17493400,17396970,17383458,17378370,17369546,17298708,17168892,16990498,16888574,16898598,16839214,16782912,16746854,16722324,16751629,16773217,16751513,16818574,16890528,16978144,17038898,17113342,17126362,17160822,17201914,17251592,17288194,17320416,17314194,17330938,17348908,17366156,17376760,17369902,17372504,17373662,17381194,17383522,17386848,17381596,17383362,17384654,17365360,17373358,17383012,17386248,17385056,17387526,17391046,17394968,17392728,17392932,17397120,17398838,17400648,17401660,17402806,17405288,17405526,17405036
3S8,17493400,17397028,17383558,17378498,17369678,17298870,17168932,16990392,16888430,16898426,16838418,16782112,16746113,16721514,16750114,16770848,16748451,16815068,16886972,16975224,17037400,17113844,17129892,17166424,17208520,17257796,17293734,17325244,17320918,17337158,17354542,17371244,17381382,17379216,17381620,17382166,17388972,17390566,17393278,17391980,17393426,17394070,17382362,17389716,17397956,17399490,17400140,17401156,17403154,17405660,17406894,17406196,17409332,17409952,17410792,17411046,17411612,17413742,17413750,17413172
3S85,17493400,17397074,17383640,17378606,17369790,17299038,17169050,16990400,16888398,16898354,16837854,16781530,16745563,16720881,16748853,16768806,16745730,16811844,16883550,16971880,17034604,17112182,17130072,17167528,17210538,17259980,17295930,17327382,17324986,17341198,17358388,17374850,17384760,17386246,17388558,17388682,17394958,17396020,17398288,17396654,17397884,17398424,17393720,17401172,17408836,17409480,17409178,17409314,17410598,17412544,17413452,17412546,17415652,17416200,17416938,17417080,17417466,17419408,17419186,17418396
3S9,17493400,17397114,17383714,17378710,17369912,17299350,17169568,16990890,16888814,16898666,16838038,16781640,16745620,16720894,16748821,16768781,16745805,16812134,16884180,16973760,17038436,17117930,17138522,17176296,17219444,17267698,17302336,17332588,17331610,17347070,17363512,17379330,17388706,17393778,17395852,17395444,17401138,17401614,17403412,17401408,17402408,17402824,17404932,17412506,17419616,17419472,17418184,17417216,17417402,17418278,17418228,17416430,17418864,17418870,17419230,17419166,17419422,17421348,17421146,17420418
