UF,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
2S6,17493400,17395492,17380596,17365008,17339590,17249602,17105966,16917254,16803112,16785082,16675661,16548654,16422650,16284377,16183847,16063480,15907575,15846164,15805627,15797939,15765130,15758339,15690040,15646830,15613993,15617170,15598720,15595871,15545799,15530242,15535042,15543740,15542790,15500070,15485639,15461493,15467591,15462429,15462168,15412407,15392566,15387406,15341764,15313426,15322256,15294265,15240905,15197020,15174250,15175610,15138278,15133833,15133567,15132501,15133912,15109298,15091481,15084197,15081822,15044528
2S65,17493400,17395548,17380682,17365088,17339622,17249048,17104278,16915232,16801186,16783400,16672956,16546152,16420302,16282103,16181510,16061535,15906691,15847113,15809135,15802191,15773558,15775996,15721295,15694775,15679574,15692937,15686673,15688731,15646180,15637157,15637047,15639211,15631588,15590261,15580414,15564265,15568256,15561945,15560927,15519250,15510123,15503750,15463873,15444625,15450864,15428741,15384803,15351413,15339951,15338702,15306462,15299583,15304946,15303205,15302843,15287146,15281587,15285863,15283351,15254730
2S7,17493400,17395632,17380820,17365258,17339788,17249046,17103736,16914420,16800374,16782670,16671234,16544521,16418737,16280420,16178977,16058165,15902928,15843446,15806160,15801375,15778417,15788024,15741337,15723196,15716203,15730554,15723265,15717424,15669773,15658282,15656035,15657311,15648882,15613349,15604425,15595227,15600493,15595307,15595071,15562741,15560117,15553613,15520882,15511435,15517251,15503884,15471734,15450200,15449115,15447595,15423115,15416012,15420752,15418547,15417664,15411916,15411399,15414930,15411863,15393797
2S75,17493400,17395702,17380942,17365418,17339960,17249224,17103688,16914184,16800110,16782418,16670238,16543560,16417801,16279328,16177025,16055248,15899329,15839463,15802219,15798889,15778656,15791994,15749863,15736912,15730524,15741242,15730542,15721404,15677013,15666210,15664672,15666706,15659095,15630174,15620987,15611480,15616512,15611321,15611238,15588823,15586576,15580426,15557795,15561208,15567109,15560973,15542778,15537112,15535811,15533989,15520578,15513363,15517667,15515178,15513984,15512397,15511559,15514658,15511334,15507265
2S8,17493400,17395760,17381042,17365552,17340110,17249424,17103772,16914126,16800022,16782324,16669547,16542884,16417133,16278495,16175759,16053138,15896435,15835936,15798360,15795297,15776021,15791117,15751557,15740035,15733808,15743295,15731384,15722042,15679890,15669584,15668574,15671182,15664225,15640272,15630805,15620984,15625797,15620574,15620626,15606262,15604384,15598600,15584465,15596392,15602460,15596431,15588197,15584164,15582810,15580935,15577809,15570668,15574829,15572285,15571020,15569386,15568469,15571449,15568106,15565830
2S85,17493400,17395806,17381124,17365664,17340238,17249622,17103924,16914172,16800036,16782318,16669074,16542415,16416664,16277877,16174975,16051675,15894244,15833086,15795066,15791755,15772604,15788449,15750353,15739360,15733571,15742786,15730577,15721510,15680925,15670982,15670367,15673413,15666957,15647367,15637641,15627425,15631877,15626450,15626482,15618592,15617009,15611565,15604596,15616800,15623086,15617264,15611687,15607770,15606489,15604677,15603965,15596959,15601147,15598561,15597158,15595364,15594314,15597190,15593829,15591563
2S9,17493400,17395846,17381198,17365772,17340372,17249962,17104472,16914696,16800508,16782720,16669392,16542702,16416935,16278138,16175238,16051967,15894656,15833726,15796050,15793999,15776824,15795039,15759557,15748375,15741922,15749290,15735599,15726833,15688082,15678513,15678282,15681766,15675797,15660715,15650949,15640495,15644672,15639073,15639045,15631510,15630106,15624929,15624955,15637390,15643866,15638239,15632820,15628978,15627651,15625678,15624746,15617497,15621469,15618824,15617498,15615923,15615063,15618130,15615018,15612991
