UF,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
425S2High,3701.10156,3253.92114,2637.0686,3020.21387,3084.90747,2925.98706,3371.37988,2709.07764,3165.74731,2321.52588,2502.57861,2289.12695,2673.51953,2246.00269,2129.37305,1996.88428,2569.78369,2501.37842,2477.64111,2102.26709,2219.63501,1982.18262,2072.47852,1906.89587,2593.80322,1732.1228,2230.42041,1886.19421,2039.10706,1898.43677,1900.19385,1938.70825,1633.87134,1787.5907,1968.42847,2351.52759,2465.23926,2402.06738,1601.7439,2155.62354,1991.92078,1832.8739,1646.63159,1931.56689,1655.16016,1626.34937,1578.67188,1726.81653,2079.19189,1927.17639,1565.14063,1297.64917,2213.76416,1836.13684,1506.03271,1455.41382,1869.23279,1477.59009,1720.57996,1609.43408,2028.03516
425S2Med,3701.10156,3253.92114,2637.0686,3020.21387,3084.90747,2925.98706,3371.37988,2709.07764,3165.74731,2321.52588,2502.57861,2289.12695,2673.51953,2246.00269,2129.37305,1959.87549,2528.87988,2448.48779,2427.65283,2040.01245,2163.01245,1904.19031,1994.11597,1826.98364,2494.60791,1626.63269,2113.98633,1763.40894,1914.77197,1749.91321,1746.05737,1770.08862,1463.31409,1598.81787,1748.50879,2131.31104,2249.67529,2177.23877,1356.3186,1884.93262,1722.14258,1536.09326,1387.8584,1586.5437,1356.35376,1274.75952,1186.26855,1395.59033,1708.7583,1564.60645,1100.91772,1000,1812.97485,1382.74854,1000,1000,1377.64282,1000,1170.38477,1002.198,1380.57544
425S2Low,3701.10156,3253.92114,2637.0686,3020.21387,3084.90747,2925.98706,3371.37988,2709.07764,3165.74731,2321.52588,2502.57861,2289.12695,2673.51953,2246.00269,2129.37305,1902.53125,2468.28271,2373.3291,2359.3623,1958.04932,2091.00708,1808.02197,1900.41089,1734.07617,2381.96973,1509.78027,1987.99719,1633.34448,1785.67566,1598.51514,1591.45654,1603.63013,1297.41919,1417.70947,1540.21143,1925.2041,2050.09912,1971.03394,1133.56396,1641.39771,1481.31177,1272.38062,1159.36865,1283.55688,1095.27612,1000,1000,1109.33765,1390.0791,1253.18628,1000,1000,1470.51221,1000,1000,1000,1000,1000,1000,1000,1000
